ID	fileName	Tech.rep	Health.PD	Ergicity	Cells.Msc.SPb	Mutation	Lab.name	Pub.name	pict.name
Po4S_7_11_2022_1_EKDL220017801-1A_HKLKJDSX5_L3	Po4S_7_11_2022_1_EKDL220017801-1A_HKLKJDSX5_L3.counts	1	H	DA	SPb	NO	Po4S	RG4S	Health_1
Po4S_7_11_2022_1_EKDL220017801-1A_HMNK7DSX5_L4	Po4S_7_11_2022_1_EKDL220017801-1A_HMNK7DSX5_L4.counts	1	H	DA	SPb	NO	Po4S	RG4S	Health_1
Po4S_7_11_2022_2_EKDL220017801-1A_HKLKJDSX5_L3	Po4S_7_11_2022_2_EKDL220017801-1A_HKLKJDSX5_L3.counts	2	H	DA	SPb	NO	Po4S	RG4S	Health_1
Po4S_7_11_2022_2_EKDL220017801-1A_HMNK7DSX5_L4	Po4S_7_11_2022_2_EKDL220017801-1A_HMNK7DSX5_L4.counts	2	H	DA	SPb	NO	Po4S	RG4S	Health_1
FF9S_7_11_2022_1_EKDL220017801-1A_HKLKJDSX5_L3	FF9S_7_11_2022_1_EKDL220017801-1A_HKLKJDSX5_L3.counts	1	H	DA	SPb	NO	FF9S	FF9S	Health_2
FF9S_7_11_2022_1_EKDL220017801-1A_HMNK7DSX5_L4	FF9S_7_11_2022_1_EKDL220017801-1A_HMNK7DSX5_L4.counts	1	H	DA	SPb	NO	FF9S	FF9S	Health_2
FF9S_7_11_2022_2_EKDL220017801-1A_HKLKJDSX5_L3	FF9S_7_11_2022_2_EKDL220017801-1A_HKLKJDSX5_L3.counts	2	H	DA	SPb	NO	FF9S	FF9S	Health_2
FF9S_7_11_2022_2_EKDL220017801-1A_HMNK7DSX5_L4	FF9S_7_11_2022_2_EKDL220017801-1A_HMNK7DSX5_L4.counts	2	H	DA	SPb	NO	FF9S	FF9S	Health_2
BL6S_7_11_2022_1_EKDL220017801-1A_HKLKJDSX5_L3	BL6S_7_11_2022_1_EKDL220017801-1A_HKLKJDSX5_L3.counts	1	PD	DA	SPb	LRRK2	Bl6S	PDL1.6S	LRRK2_1
BL6S_7_11_2022_1_EKDL220017801-1A_HMNK7DSX5_L4	BL6S_7_11_2022_1_EKDL220017801-1A_HMNK7DSX5_L4.counts	1	PD	DA	SPb	LRRK2	Bl6S	PDL1.6S	LRRK2_1
