geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0031346	positive regulation of cell projection organization	http://amigo.geneontology.org/amigo/term/GO:0031346	352	9	1.554474816926603	5.789736766398159	2.4450019726515067e-5	0.04095930380247934	655;2889;4131;4916;5295;5361;57698;91584;116985	geneontology_Biological_Process_noRedundant	ENSG00000101144;ENSG00000107263;ENSG00000114554;ENSG00000131711;ENSG00000140538;ENSG00000145675;ENSG00000186635;ENSG00000187164;ENSG00000221866
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	553	11	2.442115266364805	4.504291894613958	3.0048914073671288e-5	0.04095930380247934	10752;3983;4753;5063;5295;5361;5716;57698;6231;91584;9846	pathway_Reactome	ENSG00000033327;ENSG00000077264;ENSG00000099204;ENSG00000101843;ENSG00000114554;ENSG00000134121;ENSG00000145675;ENSG00000184613;ENSG00000187164;ENSG00000197728;ENSG00000221866
WP4148	Splicing factor NOVA regulated synaptic proteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4148&label[]=MAPK9&label[]=CHL1&label[]=CASK&label[]=CADM1&colors=steelblue	42	4	0.1854771088378333	21.56600361663653	3.4706786977184235e-5	0.04095930380247934	8573;5601;23705;10752	pathway_WikiPathways	ENSG00000050748;ENSG00000134121;ENSG00000147044;ENSG00000182985
R-HSA-399954	Sema3A PAK dependent Axon repulsion	http://reactome.org/PathwayBrowser/#/R-HSA-399954	16	3	0.0706579462239365	42.45806962025317	4.453610897774984e-5	0.04095930380247934	5063;5361;91584	pathway_Reactome	ENSG00000077264;ENSG00000114554;ENSG00000221866
R-HSA-9675108	Nervous system development	http://reactome.org/PathwayBrowser/#/R-HSA-9675108	578	11	2.5525183073397057	4.3094695808330785	4.493122400447492e-5	0.04095930380247934	10752;3983;4753;5063;5295;5361;5716;57698;6231;91584;9846	pathway_Reactome	ENSG00000033327;ENSG00000077264;ENSG00000099204;ENSG00000101843;ENSG00000114554;ENSG00000134121;ENSG00000145675;ENSG00000184613;ENSG00000187164;ENSG00000197728;ENSG00000221866
WP4816	TGF beta receptor signaling in skeletal dysplasias	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4816&label[]=LTBP1&label[]=MAPK9&label[]=ADAMTS10&label[]=CTNNB1&colors=steelblue	59	4	0.26055117670076583	15.352070371164986	1.3332149825447535e-4	0.0918328799520693	5601;81794;4052;1499	pathway_WikiPathways	ENSG00000049323;ENSG00000050748;ENSG00000142303;ENSG00000168036
hsa04360	Axon guidance	http://www.kegg.jp/kegg-bin/show_pathway?hsa04360+3983+5063+5295+5361+655+91584	182	6	0.8037341382972777	7.46515509806649	1.5340771047149423e-4	0.0918328799520693	3983;5063;5295;5361;655;91584	pathway_KEGG	ENSG00000077264;ENSG00000099204;ENSG00000101144;ENSG00000114554;ENSG00000145675;ENSG00000221866
GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	450	9	1.987254737548214	4.528860759493671	1.6118100913044197e-4	0.0918328799520693	655;2889;4131;4916;5063;5361;5793;57698;91584	geneontology_Biological_Process_noRedundant	ENSG00000077264;ENSG00000101144;ENSG00000107263;ENSG00000114554;ENSG00000131711;ENSG00000140538;ENSG00000144724;ENSG00000187164;ENSG00000221866
hsa04722	Neurotrophin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04722+27018+2889+4916+5295+5601	119	5	0.5255184750405277	9.514413360280821	1.8218133629787313e-4	0.09226472564952286	27018;2889;4916;5295;5601	pathway_KEGG	ENSG00000050748;ENSG00000107263;ENSG00000140538;ENSG00000145675;ENSG00000166681
R-HSA-9603381	Activated NTRK3 signals through PI3K	http://reactome.org/PathwayBrowser/#/R-HSA-9603381	6	2	0.026496729833976187	75.48101265822784	2.8554519002628275e-4	0.13015149761397968	4916;5295	pathway_Reactome	ENSG00000140538;ENSG00000145675
