geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0034329	cell junction assembly	http://amigo.geneontology.org/amigo/term/GO:0034329	445	36	11.343283582089553	3.1736842105263157	1.0602315863285946e-9	3.894668667096151e-6	60;87;119;389;1000;1495;1845;2039;2042;2049;2239;2258;2697;2890;3728;3915;4641;6259;6281;6585;6624;7094;7414;8128;9215;9948;10979;22941;22998;28988;51564;56940;57633;79834;81671;94030	geneontology_Biological_Process_noRedundant	ENSG00000035403;ENSG00000044115;ENSG00000044524;ENSG00000061273;ENSG00000062716;ENSG00000064042;ENSG00000071127;ENSG00000072110;ENSG00000073712;ENSG00000075340;ENSG00000075618;ENSG00000075624;ENSG00000076716;ENSG00000108861;ENSG00000112679;ENSG00000129682;ENSG00000131409;ENSG00000133424;ENSG00000135862;ENSG00000136279;ENSG00000137076;ENSG00000140557;ENSG00000152661;ENSG00000155366;ENSG00000155511;ENSG00000158856;ENSG00000162105;ENSG00000163785;ENSG00000170558;ENSG00000173517;ENSG00000173801;ENSG00000175928;ENSG00000182580;ENSG00000187122;ENSG00000197747;ENSG00000197879
GO:0030055	cell-substrate junction	http://amigo.geneontology.org/amigo/term/GO:0030055	433	35	11.037397283246689	3.171037437705117	1.865134916869818e-9	3.894668667096151e-6	60;87;301;309;977;1000;1213;1465;1495;2195;2697;2934;3371;3675;3728;4478;4627;4739;5754;6464;6522;6868;7094;7414;7529;8470;8754;9260;10979;11078;55742;64759;79026;79834;85464	geneontology_Cellular_Component_noRedundant	ENSG00000005884;ENSG00000035403;ENSG00000041982;ENSG00000044115;ENSG00000072110;ENSG00000073712;ENSG00000075624;ENSG00000083857;ENSG00000100106;ENSG00000100345;ENSG00000111859;ENSG00000112655;ENSG00000124942;ENSG00000135046;ENSG00000136205;ENSG00000137076;ENSG00000141298;ENSG00000141367;ENSG00000147065;ENSG00000148180;ENSG00000151694;ENSG00000152661;ENSG00000154556;ENSG00000159176;ENSG00000160691;ENSG00000164889;ENSG00000166913;ENSG00000168615;ENSG00000170558;ENSG00000173517;ENSG00000173801;ENSG00000177697;ENSG00000196923;ENSG00000197043;ENSG00000197702
GO:0005912	adherens junction	http://amigo.geneontology.org/amigo/term/GO:0005912	187	22	4.766728156967969	4.615325077399381	2.563406318843452e-9	3.894668667096151e-6	60;301;302;1000;1495;1741;1742;1982;3728;3996;4478;4627;7094;7414;9260;10979;11315;29766;54806;57619;64398;144100	geneontology_Cellular_Component_noRedundant	ENSG00000035403;ENSG00000044115;ENSG00000072415;ENSG00000073712;ENSG00000075624;ENSG00000082458;ENSG00000100345;ENSG00000110321;ENSG00000116288;ENSG00000131899;ENSG00000132535;ENSG00000135046;ENSG00000135541;ENSG00000137076;ENSG00000138594;ENSG00000138771;ENSG00000147065;ENSG00000166689;ENSG00000170558;ENSG00000173801;ENSG00000182718;ENSG00000196923
GO:0003779	actin binding	http://amigo.geneontology.org/amigo/term/GO:0003779	431	34	10.986416233439543	3.0947307363536454	5.94894386006921e-9	6.778821528548865e-6	27;87;119;309;800;1495;2039;2934;4478;4627;4641;4651;6624;7094;7168;7414;7533;8407;9260;9948;10979;11034;11078;22998;23307;28988;29085;29766;51088;55742;57617;57619;65108;85464	geneontology_Molecular_Function_noRedundant	ENSG00000035403;ENSG00000044115;ENSG00000054148;ENSG00000064042;ENSG00000071127;ENSG00000072110;ENSG00000073712;ENSG00000075340;ENSG00000075618;ENSG00000100106;ENSG00000100345;ENSG00000104142;ENSG00000109790;ENSG00000119321;ENSG00000122786;ENSG00000125868;ENSG00000128245;ENSG00000136279;ENSG00000137076;ENSG00000138594;ENSG00000138771;ENSG00000140416;ENSG00000141298;ENSG00000143322;ENSG00000145555;ENSG00000147065;ENSG00000148180;ENSG00000158710;ENSG00000158856;ENSG00000175130;ENSG00000196923;ENSG00000197043;ENSG00000197702;ENSG00000197879
GO:0007163	establishment or maintenance of cell polarity	http://amigo.geneontology.org/amigo/term/GO:0007163	226	22	5.760858628207278	3.8188751746623195	8.322190611371877e-8	7.586508961326603e-5	27;60;1495;1741;1742;2195;2258;2697;2934;3996;4478;4627;5754;5881;6624;9948;25932;26086;51421;55742;64398;286204	geneontology_Biological_Process_noRedundant	ENSG00000044115;ENSG00000071127;ENSG00000072415;ENSG00000075618;ENSG00000075624;ENSG00000082458;ENSG00000083857;ENSG00000100345;ENSG00000112655;ENSG00000114019;ENSG00000129682;ENSG00000131899;ENSG00000132535;ENSG00000143322;ENSG00000147065;ENSG00000148180;ENSG00000148204;ENSG00000152661;ENSG00000160360;ENSG00000169504;ENSG00000169750;ENSG00000197702
GO:0032970	regulation of actin filament-based process	http://amigo.geneontology.org/amigo/term/GO:0032970	365	28	9.30404158980379	3.0094448449891855	2.4069535297827467e-7	1.8284823647916266e-4	27;119;389;2039;2042;2258;2934;3728;4627;4739;5142;5144;5881;6281;6522;6624;7016;7168;9620;9873;9948;10979;11034;11078;22998;29766;85415;85464	geneontology_Biological_Process_noRedundant	ENSG00000044524;ENSG00000064042;ENSG00000071127;ENSG00000073712;ENSG00000075275;ENSG00000075340;ENSG00000075618;ENSG00000100106;ENSG00000100345;ENSG00000107140;ENSG00000111859;ENSG00000113448;ENSG00000125868;ENSG00000129682;ENSG00000131941;ENSG00000137478;ENSG00000138594;ENSG00000140416;ENSG00000141298;ENSG00000143322;ENSG00000148180;ENSG00000155366;ENSG00000158856;ENSG00000164889;ENSG00000169750;ENSG00000173801;ENSG00000184588;ENSG00000197747
R-HSA-9675108	Nervous system development	http://reactome.org/PathwayBrowser/#/R-HSA-9675108	578	37	14.733523394264632	2.511279821526134	2.881892634983675e-7	1.8765238043222274e-4	10413;11313;1212;1213;1741;1742;1947;2042;2049;2107;219699;27;2817;389;3915;3985;4478;4627;4637;4651;51065;5362;5600;5718;60;6192;64221;6453;6464;6585;6721;7094;79966;8128;8828;8997;9260	pathway_Reactome	ENSG00000011009;ENSG00000044524;ENSG00000063660;ENSG00000075624;ENSG00000076356;ENSG00000082458;ENSG00000090776;ENSG00000092841;ENSG00000100345;ENSG00000107731;ENSG00000118257;ENSG00000120705;ENSG00000129824;ENSG00000132535;ENSG00000135862;ENSG00000137076;ENSG00000137693;ENSG00000140557;ENSG00000141367;ENSG00000143322;ENSG00000145284;ENSG00000145555;ENSG00000147065;ENSG00000154134;ENSG00000155366;ENSG00000160145;ENSG00000160691;ENSG00000175416;ENSG00000182541;ENSG00000182580;ENSG00000185088;ENSG00000185386;ENSG00000187122;ENSG00000196923;ENSG00000197170;ENSG00000198911;ENSG00000205726
GO:0150115	cell-substrate junction organization	http://amigo.geneontology.org/amigo/term/GO:0150115	103	14	2.625524065067919	5.332268778742973	3.4805259974811025e-7	1.9830296870648582e-4	87;1845;2039;2042;3915;6281;7094;7414;9922;10979;22998;51762;56940;79834	geneontology_Biological_Process_noRedundant	ENSG00000035403;ENSG00000044524;ENSG00000064042;ENSG00000072110;ENSG00000073712;ENSG00000108861;ENSG00000112679;ENSG00000135862;ENSG00000137076;ENSG00000144711;ENSG00000158856;ENSG00000166128;ENSG00000173517;ENSG00000197747
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	239	21	6.092235451953715	3.4470105703589518	9.036218120890484e-7	4.576342466113203e-4	1947;2042;2049;3800;3913;4781;4853;5362;5754;5881;6259;6585;6868;8828;8997;10512;10857;11313;55701;64221;219699	geneontology_Biological_Process_noRedundant	ENSG00000011009;ENSG00000044524;ENSG00000075223;ENSG00000076356;ENSG00000090776;ENSG00000101856;ENSG00000107731;ENSG00000112655;ENSG00000118257;ENSG00000134250;ENSG00000147862;ENSG00000151694;ENSG00000154134;ENSG00000160145;ENSG00000163785;ENSG00000165801;ENSG00000168280;ENSG00000169750;ENSG00000172037;ENSG00000182580;ENSG00000187122
GO:0031252	cell leading edge	http://amigo.geneontology.org/amigo/term/GO:0031252	426	29	10.858963608921684	2.6706047689646653	1.7153792098984112e-6	7.818698438716959e-4	60;87;1000;1495;2195;2890;2934;4254;4627;4641;4651;4739;5881;6453;6624;6868;7016;7094;7168;8470;9260;10979;22848;28988;29085;55742;56940;57403;83442	geneontology_Cellular_Component_noRedundant	ENSG00000044115;ENSG00000049130;ENSG00000054148;ENSG00000072110;ENSG00000073712;ENSG00000075618;ENSG00000075624;ENSG00000083857;ENSG00000100345;ENSG00000107140;ENSG00000111859;ENSG00000112679;ENSG00000115977;ENSG00000124209;ENSG00000136279;ENSG00000137076;ENSG00000140416;ENSG00000142669;ENSG00000145555;ENSG00000148180;ENSG00000151694;ENSG00000154556;ENSG00000155511;ENSG00000169750;ENSG00000170558;ENSG00000196923;ENSG00000197702;ENSG00000197879;ENSG00000205726
