geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	300	8	1.3080664095254066	6.115897435897436	4.829392528879539e-5	0.09192118504352943	10491;1287;1301;2200;2202;3339;3693;7837	pathway_Reactome	ENSG00000060718;ENSG00000082781;ENSG00000115380;ENSG00000130508;ENSG00000142798;ENSG00000166147;ENSG00000170275;ENSG00000188153
GO:0032432	actin filament bundle	http://amigo.geneontology.org/amigo/term/GO:0032432	95	5	0.41422102968304547	12.070850202429149	5.9035779231986004e-5	0.09192118504352943	2317;4026;5358;10611;55917	geneontology_Cellular_Component_noRedundant	ENSG00000102024;ENSG00000136068;ENSG00000143079;ENSG00000145012;ENSG00000163110
WP4784	Proteoglycan biosynthesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4784&label[]=BPNT2&label[]=CHST3&label[]=EXT1&colors=steelblue	18	3	0.0784839845715244	38.22435897435897	6.207376386753873e-5	0.09192118504352943	54928;9469;2131	pathway_WikiPathways	ENSG00000104331;ENSG00000122863;ENSG00000182197
GO:0005201	extracellular matrix structural constituent	http://amigo.geneontology.org/amigo/term/GO:0005201	164	6	0.715076303873889	8.390712945590995	8.066799916062258e-5	0.09192118504352943	1287;1301;2200;2202;3339;7837	geneontology_Molecular_Function_noRedundant	ENSG00000060718;ENSG00000115380;ENSG00000130508;ENSG00000142798;ENSG00000166147;ENSG00000188153
R-HSA-3000171	Non-integrin membrane-ECM interactions	http://reactome.org/PathwayBrowser/#/R-HSA-3000171	59	4	0.25725306053999664	15.548891786179922	1.2688183086466943e-4	0.11566547701623266	1287;1301;3339;3693	pathway_Reactome	ENSG00000060718;ENSG00000082781;ENSG00000142798;ENSG00000188153
GO:0016049	cell growth	http://amigo.geneontology.org/amigo/term/GO:0016049	486	9	2.1190675834311588	4.247150997150997	2.5892625902180296e-4	0.17967885604973907	604;2131;4088;6860;7003;10439;10611;57556;440275	geneontology_Biological_Process_noRedundant	ENSG00000092421;ENSG00000113916;ENSG00000128829;ENSG00000130558;ENSG00000132872;ENSG00000163110;ENSG00000166949;ENSG00000182197;ENSG00000187079
GO:0045216	cell-cell junction organization	http://amigo.geneontology.org/amigo/term/GO:0045216	216	6	0.9418078148582928	6.370726495726496	3.601333498349159e-4	0.17967885604973907	2131;4088;23136;55243;57502;57662	geneontology_Biological_Process_noRedundant	ENSG00000076826;ENSG00000082397;ENSG00000146938;ENSG00000166949;ENSG00000182197;ENSG00000183853
GO:0005788	endoplasmic reticulum lumen	http://amigo.geneontology.org/amigo/term/GO:0005788	312	7	1.3603890659064228	5.145586785009862	4.20440993870901e-4	0.17967885604973907	334;1287;1301;2200;7466;10491;11167	geneontology_Cellular_Component_noRedundant	ENSG00000060718;ENSG00000084234;ENSG00000109501;ENSG00000163430;ENSG00000166147;ENSG00000170275;ENSG00000188153
WP2857	Mesodermal commitment pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2857&label[]=ZFHX4&label[]=DDAH1&label[]=SMAD3&label[]=EXT1&label[]=TEAD1&colors=steelblue	148	5	0.645312762032534	7.748180873180873	4.7063570448359105e-4	0.17967885604973907	79776;4088;2131;23576;7003	pathway_WikiPathways	ENSG00000091656;ENSG00000153904;ENSG00000166949;ENSG00000182197;ENSG00000187079
GO:0007492	endoderm development	http://amigo.geneontology.org/amigo/term/GO:0007492	85	4	0.37061881603219854	10.792760180995476	5.181462181609677e-4	0.17967885604973907	1301;2131;3693;4088	geneontology_Biological_Process_noRedundant	ENSG00000060718;ENSG00000082781;ENSG00000166949;ENSG00000182197
