geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-416700	Other semaphorin interactions	http://reactome.org/PathwayBrowser/#/R-HSA-416700	19	4	0.09877578400134161	40.49575551782682	2.499057715601033e-6	0.0071834652905580325	23129;3688;57556;91584	pathway_Reactome	ENSG00000004399;ENSG00000092421;ENSG00000150093;ENSG00000221866
R-HSA-1566948	Elastic fibre formation	http://reactome.org/PathwayBrowser/#/R-HSA-1566948	44	5	0.22874392084521214	21.85850439882698	3.1520251384633753e-6	0.0071834652905580325	2200;3688;4052;5045;655	pathway_Reactome	ENSG00000049323;ENSG00000101144;ENSG00000140564;ENSG00000150093;ENSG00000166147
R-HSA-9675108	Nervous system development	http://reactome.org/PathwayBrowser/#/R-HSA-9675108	578	13	3.004863323830287	4.326319901774752	8.88280103388304e-6	0.013495935704146297	10752;1287;23129;3688;3983;5063;5295;5716;57556;57698;6231;79966;91584	pathway_Reactome	ENSG00000004399;ENSG00000077264;ENSG00000092421;ENSG00000099204;ENSG00000101843;ENSG00000134121;ENSG00000145284;ENSG00000145675;ENSG00000150093;ENSG00000187164;ENSG00000188153;ENSG00000197728;ENSG00000221866
R-HSA-373755	Semaphorin interactions	http://reactome.org/PathwayBrowser/#/R-HSA-373755	65	5	0.3379171557940634	14.79652605459057	2.199836958321498e-5	0.025067142140073467	23129;3688;5063;57556;91584	pathway_Reactome	ENSG00000004399;ENSG00000077264;ENSG00000092421;ENSG00000150093;ENSG00000221866
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	553	12	2.874895186986416	4.174065216123199	2.8819486927147386e-5	0.025811645716765117	10752;1287;23129;3688;3983;5063;5295;5716;57556;57698;6231;91584	pathway_Reactome	ENSG00000004399;ENSG00000077264;ENSG00000092421;ENSG00000099204;ENSG00000101843;ENSG00000134121;ENSG00000145675;ENSG00000150093;ENSG00000187164;ENSG00000188153;ENSG00000197728;ENSG00000221866
GO:0090287	regulation of cellular response to growth factor stimulus	http://amigo.geneontology.org/amigo/term/GO:0090287	312	9	1.6220023478115042	5.5486972704714645	3.544774795792389e-5	0.025811645716765117	1499;2200;3688;4052;5931;8573;27122;57556;64855	geneontology_Biological_Process_noRedundant	ENSG00000049323;ENSG00000050165;ENSG00000092421;ENSG00000102054;ENSG00000136830;ENSG00000147044;ENSG00000150093;ENSG00000166147;ENSG00000168036
R-HSA-2129379	Molecules associated with elastic fibres	http://reactome.org/PathwayBrowser/#/R-HSA-2129379	37	4	0.1923528425289284	20.795117698343503	3.9640526550538794e-5	0.025811645716765117	2200;3688;4052;655	pathway_Reactome	ENSG00000049323;ENSG00000101144;ENSG00000150093;ENSG00000166147
hsa04360	Axon guidance	http://www.kegg.jp/kegg-bin/show_pathway?hsa04360+3688+3983+5063+5295+57556+655+91584	182	7	0.9461680362233775	7.398263027295285	4.5582155710836184e-5	0.025970433216248916	3688;3983;5063;5295;57556;655;91584	pathway_KEGG	ENSG00000077264;ENSG00000092421;ENSG00000099204;ENSG00000101144;ENSG00000145675;ENSG00000150093;ENSG00000221866
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	http://reactome.org/PathwayBrowser/#/R-HSA-2173789	47	4	0.2443400972664766	16.370624571036377	1.0288821546972035e-4	0.04689005645806327	2200;3688;4052;5045	pathway_Reactome	ENSG00000049323;ENSG00000140564;ENSG00000150093;ENSG00000166147
WP4534	Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4534&label[]=MAPK9&label[]=PAK3&label[]=ITGB1&label[]=CTNNB1&colors=steelblue	47	4	0.2443400972664766	16.370624571036377	1.0288821546972035e-4	0.04689005645806327	5063;3688;5601;1499	pathway_WikiPathways	ENSG00000050748;ENSG00000077264;ENSG00000150093;ENSG00000168036
