geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0002009	morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0002009	499	19	4.240213314580403	4.480906640867943	4.6946512749745794e-8	1.9736313959993132e-4	187;2066;2737;3791;3872;4488;7042;7414;7424;7482;9955;10512;10630;54922;57822;79191;84870;151449;153572	geneontology_Biological_Process_noRedundant	VCL;SEMA3C;TGFB2;RASIP1;GLI3;MSX2;KDR;KRT17;WNT2B;APLNR;GDF7;RSPO3;VEGFC;HS3ST3A1;GRHL3;PDPN;IRX2;IRX3;ERBB4
GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	418	16	3.551922175339897	4.504603200791948	5.444282495696415e-7	0.0011443881805953864	1063;1144;2066;4488;5239;6474;7021;7042;7161;7480;10512;50937;57158;57493;79191;115701	geneontology_Biological_Process_noRedundant	TFAP2B;CDON;SEMA3C;TP73;TGFB2;CENPF;MSX2;CHRND;JPH2;PGM5;SHOX2;WNT10B;HEG1;IRX3;ERBB4;ALPK2
hsa04390	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04390+11211+151449+23286+268+6932+7042+7161+7480+7482+8313	157	10	1.3340951711204876	7.4957171095980675	9.281559982759373e-7	0.0013006559389173468	11211;151449;23286;268;6932;7042;7161;7480;7482;8313	pathway_KEGG	TP73;TCF7;TGFB2;AMH;FZD10;WWC1;WNT2B;GDF7;AXIN2;WNT10B
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	447	16	3.798347398030942	4.212358250404999	1.3162946959575038e-6	0.0013834257254513363	2239;2737;4919;5336;6932;7480;7482;8313;11211;57822;79971;84133;84870;115701;259266;284654	geneontology_Biological_Process_noRedundant	ASPM;GPC4;TCF7;GLI3;FZD10;WLS;WNT2B;RSPO3;GRHL3;AXIN2;RSPO1;WNT10B;ZNRF3;ROR1;PLCG2;ALPK2
hsa04310	Wnt signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04310+11211+2239+284654+4919+6932+7480+7482+8313+84133+84870	174	10	1.4785513361462728	6.763376932223544	2.363465130276198e-6	0.001987201481536227	11211;2239;284654;4919;6932;7480;7482;8313;84133;84870	pathway_KEGG	GPC4;TCF7;FZD10;WNT2B;RSPO3;AXIN2;RSPO1;WNT10B;ZNRF3;ROR1
GO:0001945	lymph vessel development	http://amigo.geneontology.org/amigo/term/GO:0001945	30	5	0.25492264416315047	19.613793103448277	4.964579560831013e-6	0.0030368439239505216	3791;5784;7424;10630;57493	geneontology_Biological_Process_noRedundant	KDR;VEGFC;PTPN14;PDPN;HEG1
GO:0072089	stem cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0072089	112	8	0.9517112048757619	8.40591133004926	5.056590739213523e-6	0.0030368439239505216	2737;3791;6474;7424;7480;7482;8313;84133	geneontology_Biological_Process_noRedundant	GLI3;KDR;WNT2B;VEGFC;AXIN2;SHOX2;WNT10B;ZNRF3
GO:0051960	regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051960	457	15	3.8833216127519923	3.862672602429639	8.198658572768671e-6	0.004308395079989937	869;2737;3815;4311;4602;6474;6860;7161;7424;7869;9928;10512;50937;223117;259266	geneontology_Biological_Process_noRedundant	SEMA3B;CDON;ASPM;SEMA3C;TP73;CBLN1;GLI3;KIF14;MYB;SYT4;VEGFC;SEMA3D;KIT;SHOX2;MME
GO:0001763	morphogenesis of a branching structure	http://amigo.geneontology.org/amigo/term/GO:0001763	204	10	1.7334739803094235	5.768762677484786	9.71823884815227e-6	0.004539497346403571	2737;3791;4488;6474;7482;9955;10512;54922;84870;151449	geneontology_Biological_Process_noRedundant	SEMA3C;RASIP1;GLI3;MSX2;KDR;WNT2B;GDF7;RSPO3;HS3ST3A1;SHOX2
GO:0007389	pattern specification process	http://amigo.geneontology.org/amigo/term/GO:0007389	470	15	3.993788091889358	3.755832721936904	1.1439668153239567e-5	0.004809236491621914	187;2066;2737;4091;4222;4281;4488;7482;8313;10512;50937;57822;79191;79971;153572	geneontology_Biological_Process_noRedundant	MEOX1;CDON;SEMA3C;MID1;GLI3;WLS;MSX2;WNT2B;APLNR;SMAD6;GRHL3;AXIN2;IRX2;IRX3;ERBB4
