#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04310	Wnt signaling pathway	52	154	2.05	16.72	8.80e-96	9606.ENSP00000220772,9606.ENSP00000220812,9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000261349,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000266066,9606.ENSP00000272164,9606.ENSP00000274063,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000285311,9606.ENSP00000286201,9606.ENSP00000286574,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000294304,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000322304,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000348944,9606.ENSP00000349131,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000359864,9606.ENSP00000360120,9606.ENSP00000363081,9606.ENSP00000363826,9606.ENSP00000364860,9606.ENSP00000368166,9606.ENSP00000370297,9606.ENSP00000380379,9606.ENSP00000387310,9606.ENSP00000410715,9606.ENSP00000426653,9606.ENSP00000434034,9606.ENSP00000443824,9606.ENSP00000478721	SFRP1,DKK4,WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,LRP6,WNT5A,WNT2,SFRP5,WNT9A,SFRP2,WNT3A,WNT7A,DKK2,FZD7,WIF1,FZD1,WNT9B,WNT4,WNT1,LRP5,WNT10B,AXIN2,PORCN,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,RSPO1,RSPO3,FZD6,FZD5,WNT2B,GPC4,ROR1,DKK1,FZD8,ROR2,DVL1,CER1,WNT5B,NOTUM,SFRP4,WNT8A,FZD4,ZNRF3,RYK
hsa05217	Basal cell carcinoma	32	63	2.23	14.33	1.37e-58	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa05224	Breast cancer	34	146	1.89	10.21	4.39e-53	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000261349,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000294304,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,LRP6,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,LRP5,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa05226	Gastric cancer	34	146	1.89	10.21	4.39e-53	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000261349,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000294304,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,LRP6,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,LRP5,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa04916	Melanogenesis	31	95	2.04	11.49	5.16e-52	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000301061,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,WNT10B,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa05225	Hepatocellular carcinoma	34	161	1.85	9.67	5.16e-52	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000261349,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000294304,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,LRP6,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,LRP5,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa04550	Signaling pathways regulating pluripotency of stem cells	32	141	1.88	9.71	1.32e-49	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa04150	mTOR signaling pathway	32	150	1.85	9.37	6.80e-49	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000261349,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000294304,9606.ENSP00000301061,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,LRP6,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,LRP5,WNT10B,FZD2,WNT11,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa04934	Cushing syndrome	32	153	1.84	9.27	1.07e-48	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa04390	Hippo signaling pathway	32	154	1.84	9.24	1.16e-48	9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340347,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,FZD7,FZD1,WNT9B,WNT4,WNT1,WNT10B,AXIN2,FZD2,WNT11,TCF7,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,FZD8,DVL1,WNT5B,WNT8A,FZD4
hsa05010	Alzheimer disease	36	354	1.53	6.17	2.45e-45	9606.ENSP00000220812,9606.ENSP00000222462,9606.ENSP00000225512,9606.ENSP00000229030,9606.ENSP00000233948,9606.ENSP00000240093,9606.ENSP00000258411,9606.ENSP00000261349,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000272164,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000285311,9606.ENSP00000286201,9606.ENSP00000287934,9606.ENSP00000290015,9606.ENSP00000290167,9606.ENSP00000293549,9606.ENSP00000294304,9606.ENSP00000301061,9606.ENSP00000302625,9606.ENSP00000323901,9606.ENSP00000325526,9606.ENSP00000340677,9606.ENSP00000341032,9606.ENSP00000345785,9606.ENSP00000351605,9606.ENSP00000354607,9606.ENSP00000358698,9606.ENSP00000363081,9606.ENSP00000363826,9606.ENSP00000368166,9606.ENSP00000380379,9606.ENSP00000426653,9606.ENSP00000434034	DKK4,WNT16,WNT3,FZD10,WNT6,FZD3,WNT10A,LRP6,WNT5A,WNT2,WNT9A,WNT3A,WNT7A,DKK2,FZD7,FZD1,WNT9B,WNT4,WNT1,LRP5,WNT10B,AXIN2,FZD2,WNT11,WNT8B,WNT7B,FZD9,FZD6,FZD5,WNT2B,DKK1,FZD8,DVL1,WNT5B,WNT8A,FZD4
