#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AXIN2	SFRP1	9606.ENSP00000302625	9606.ENSP00000220772	0	0	0	0	0.053	0	0	0.657	0.662
AXIN2	DKK4	9606.ENSP00000302625	9606.ENSP00000220812	0	0	0	0	0.083	0	0	0.556	0.575
AXIN2	WNT16	9606.ENSP00000302625	9606.ENSP00000222462	0	0	0	0	0.053	0.092	0	0.562	0.591
AXIN2	WNT3	9606.ENSP00000302625	9606.ENSP00000225512	0	0	0	0	0.059	0.092	0	0.668	0.692
AXIN2	FZD10	9606.ENSP00000302625	9606.ENSP00000229030	0	0	0	0	0.059	0	0	0.496	0.506
AXIN2	WNT6	9606.ENSP00000302625	9606.ENSP00000233948	0	0	0	0	0.053	0.092	0	0.605	0.631
AXIN2	MSX2	9606.ENSP00000302625	9606.ENSP00000239243	0	0	0	0	0.050	0	0	0.496	0.501
AXIN2	FZD3	9606.ENSP00000302625	9606.ENSP00000240093	0	0	0	0	0.060	0	0	0.515	0.525
AXIN2	WNT10A	9606.ENSP00000302625	9606.ENSP00000258411	0	0	0	0	0.054	0.068	0	0.693	0.706
AXIN2	LRP6	9606.ENSP00000302625	9606.ENSP00000261349	0	0	0	0	0.059	0.126	0	0.756	0.782
AXIN2	WNT5A	9606.ENSP00000302625	9606.ENSP00000264634	0	0	0	0	0.053	0.092	0	0.745	0.761
AXIN2	WNT2	9606.ENSP00000302625	9606.ENSP00000265441	0	0	0	0	0.053	0.092	0	0.642	0.665
AXIN2	SFRP5	9606.ENSP00000302625	9606.ENSP00000266066	0	0	0	0	0.060	0	0	0.682	0.688
AXIN2	WNT9A	9606.ENSP00000302625	9606.ENSP00000272164	0	0	0	0	0.053	0.068	0	0.590	0.606
AXIN2	SFRP2	9606.ENSP00000302625	9606.ENSP00000274063	0	0	0	0	0.083	0	0	0.727	0.739
AXIN2	WNT3A	9606.ENSP00000302625	9606.ENSP00000284523	0	0	0	0	0.053	0.092	0	0.887	0.894
AXIN2	WNT7A	9606.ENSP00000302625	9606.ENSP00000285018	0	0	0	0	0.071	0.092	0	0.612	0.644
AXIN2	DKK2	9606.ENSP00000302625	9606.ENSP00000285311	0	0	0	0	0.044	0	0	0.616	0.617
AXIN2	FZD7	9606.ENSP00000302625	9606.ENSP00000286201	0	0	0	0	0.073	0	0	0.745	0.753
AXIN2	WIF1	9606.ENSP00000302625	9606.ENSP00000286574	0	0	0	0	0.050	0	0	0.704	0.707
AXIN2	FZD1	9606.ENSP00000302625	9606.ENSP00000287934	0	0	0	0	0.053	0	0	0.628	0.633
AXIN2	WNT9B	9606.ENSP00000302625	9606.ENSP00000290015	0	0	0	0	0.053	0.068	0	0.617	0.633
AXIN2	WNT4	9606.ENSP00000302625	9606.ENSP00000290167	0	0	0	0	0.053	0.092	0	0.650	0.672
AXIN2	WNT1	9606.ENSP00000302625	9606.ENSP00000293549	0	0	0	0	0.058	0.092	0	0.693	0.715
AXIN2	LRP5	9606.ENSP00000302625	9606.ENSP00000294304	0	0	0	0	0	0.126	0	0.840	0.854
AXIN2	WNT10B	9606.ENSP00000302625	9606.ENSP00000301061	0	0	0	0	0.053	0.068	0	0.646	0.660
AXIN2	ROR2	9606.ENSP00000302625	9606.ENSP00000364860	0	0	0	0	0.051	0.127	0	0.336	0.402
AXIN2	RYK	9606.ENSP00000302625	9606.ENSP00000478721	0	0	0	0	0.060	0	0	0.470	0.480
AXIN2	WNT8A	9606.ENSP00000302625	9606.ENSP00000426653	0	0	0	0	0.053	0.092	0	0.490	0.523
AXIN2	WNT8B	9606.ENSP00000302625	9606.ENSP00000340677	0	0	0	0	0.060	0.092	0	0.488	0.525
