#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007059	Chromosome segregation	21	286	1.55	4.41	1.71e-23	9606.ENSP00000220514,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000285116,9606.ENSP00000319417,9606.ENSP00000328228,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000377007,9606.ENSP00000414109,9606.ENSP00000465992,9606.ENSP00000481465,9606.ENSP00000499238	OIP5,DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,SKA1,SKA3,CDCA2,CENPF,KIF14,TTK,KIF2C,ZWINT,KIF4A,CENPN,HJURP,KIF18B,FAM83D,NUSAP1
GO:0007049	Cell cycle	30	1246	1.06	2.2	1.85e-23	9606.ENSP00000220514,9606.ENSP00000228843,9606.ENSP00000247191,9606.ENSP00000250056,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000285116,9606.ENSP00000300035,9606.ENSP00000319417,9606.ENSP00000324020,9606.ENSP00000328228,9606.ENSP00000336868,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000367545,9606.ENSP00000414109,9606.ENSP00000442068,9606.ENSP00000465992,9606.ENSP00000481465,9606.ENSP00000499238	OIP5,RAD51AP1,DLGAP5,PIMREG,NCAPG,CENPE,NUF2,CDCA5,SPC25,SKA1,PCLAF,SKA3,KIF15,CDCA2,CENPA,EXO1,CENPF,KIF14,ASPM,TTK,CEP55,KIF2C,ZWINT,KIF4A,TP73,HJURP,CDCA3,KIF18B,FAM83D,NUSAP1
GO:0051301	Cell division	22	527	1.3	3.03	3.06e-20	9606.ENSP00000220514,9606.ENSP00000250056,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000285116,9606.ENSP00000319417,9606.ENSP00000328228,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000442068,9606.ENSP00000465992,9606.ENSP00000481465,9606.ENSP00000499238	OIP5,PIMREG,NCAPG,CENPE,NUF2,CDCA5,SPC25,SKA1,SKA3,CDCA2,CENPA,CENPF,KIF14,ASPM,CEP55,KIF2C,ZWINT,KIF4A,CDCA3,KIF18B,FAM83D,NUSAP1
GO:0098813	Nuclear chromosome segregation	15	229	1.5	3.27	2.91e-15	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000465992,9606.ENSP00000481465,9606.ENSP00000499238	DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,CENPF,KIF14,TTK,KIF2C,ZWINT,KIF4A,KIF18B,FAM83D,NUSAP1
GO:0000278	Mitotic cell cycle	19	631	1.16	2.16	2.05e-14	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000285116,9606.ENSP00000319417,9606.ENSP00000324020,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000465992,9606.ENSP00000499238	DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,SKA1,SKA3,KIF15,CENPA,CENPF,KIF14,TTK,CEP55,KIF2C,ZWINT,KIF4A,KIF18B,NUSAP1
GO:0022402	Cell cycle process	19	835	1.04	1.71	2.61e-12	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000300035,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000465992,9606.ENSP00000481465,9606.ENSP00000499238	DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,PCLAF,CENPA,CENPF,KIF14,ASPM,TTK,CEP55,KIF2C,ZWINT,KIF4A,KIF18B,FAM83D,NUSAP1
GO:0000070	Mitotic sister chromatid segregation	11	122	1.64	3.08	5.08e-12	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000465992,9606.ENSP00000499238	DLGAP5,NCAPG,CENPE,NUF2,CDCA5,KIF14,KIF2C,ZWINT,KIF4A,KIF18B,NUSAP1
GO:1903047	Mitotic cell cycle process	16	537	1.16	1.94	1.23e-11	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000465992,9606.ENSP00000499238	DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,CENPA,CENPF,KIF14,TTK,CEP55,KIF2C,ZWINT,KIF4A,KIF18B,NUSAP1
GO:0000280	Nuclear division	13	323	1.29	2.12	1.44e-10	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000465992,9606.ENSP00000499238	DLGAP5,NCAPG,CENPE,NUF2,CDCA5,KIF14,ASPM,TTK,KIF2C,ZWINT,KIF4A,KIF18B,NUSAP1
GO:0051983	Regulation of chromosome segregation	10	128	1.57	2.64	2.44e-10	9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000328228,9606.ENSP00000355922,9606.ENSP00000358813,9606.ENSP00000361298,9606.ENSP00000363055	DLGAP5,NCAPG,CENPE,NUF2,SPC25,CDCA2,CENPF,TTK,KIF2C,ZWINT
