geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	433	24	0.9388771683075481	25.562449285313026	7.094876341140961e-30	2.9826860138156604e-26	1062;1063;7272;9787;9928;11004;11130;11339;24137;51203;55165;55355;55839;57405;64151;79019;81610;83540;113130;146909;157313;220134;221150;259266	geneontology_Biological_Process_noRedundant	ENSG00000066279;ENSG00000184661;ENSG00000146670;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000138180;ENSG00000126787;ENSG00000101447;ENSG00000123485;ENSG00000118193;ENSG00000186185;ENSG00000142945;ENSG00000090889;ENSG00000109805;ENSG00000143228;ENSG00000137804;ENSG00000104147;ENSG00000154839;ENSG00000262634;ENSG00000165480;ENSG00000152253;ENSG00000277909;ENSG00000112742;ENSG00000122952
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	490	20	1.0624706985466479	18.824048538334253	1.0035251530093755e-21	2.1094098716257073e-18	1062;1063;7272;9787;9928;10635;11004;11130;24137;51203;55165;57405;64151;83540;113130;146909;157313;220134;221150;259266	geneontology_Biological_Process_noRedundant	ENSG00000066279;ENSG00000184661;ENSG00000146670;ENSG00000138778;ENSG00000117724;ENSG00000138180;ENSG00000126787;ENSG00000118193;ENSG00000186185;ENSG00000142945;ENSG00000090889;ENSG00000109805;ENSG00000143228;ENSG00000137804;ENSG00000111247;ENSG00000154839;ENSG00000262634;ENSG00000165480;ENSG00000152253;ENSG00000277909;ENSG00000112742;ENSG00000122952
GO:0050000	chromosome localization	http://amigo.geneontology.org/amigo/term/GO:0050000	121	13	0.2623652133145804	49.549251731069916	1.8250079841801348e-19	2.557444521831095e-16	1062;1063;9787;9928;11004;11130;55165;57405;81610;83540;113130;220134;221150	geneontology_Biological_Process_noRedundant	ENSG00000146670;ENSG00000138778;ENSG00000117724;ENSG00000138180;ENSG00000126787;ENSG00000101447;ENSG00000118193;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000165480;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	http://reactome.org/PathwayBrowser/#/R-HSA-2500257	126	11	0.2732067510548523	40.262548262548265	1.6574948836881043e-15	1.7420271227561976e-12	1058;1062;1063;11004;11130;113130;220134;55839;57405;79019;83540	pathway_Reactome	ENSG00000146670;ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-141424	Amplification of signal from the kinetochores	http://reactome.org/PathwayBrowser/#/R-HSA-141424	96	10	0.20815752461322082	48.04054054054054	6.032636466383438e-15	4.226867284112662e-12	1058;1062;1063;11004;11130;220134;55839;57405;79019;83540	pathway_Reactome	ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	http://reactome.org/PathwayBrowser/#/R-HSA-141444	96	10	0.20815752461322082	48.04054054054054	6.032636466383438e-15	4.226867284112662e-12	1058;1062;1063;11004;11130;220134;55839;57405;79019;83540	pathway_Reactome	ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-68877	Mitotic Prometaphase	http://reactome.org/PathwayBrowser/#/R-HSA-68877	204	12	0.44233473980309423	27.12877583465819	8.777627437909898e-15	5.271592249853316e-12	1058;1062;1063;11004;11130;113130;220134;55839;57405;64151;79019;83540	pathway_Reactome	ENSG00000146670;ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000109805;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-69618	Mitotic Spindle Checkpoint	http://reactome.org/PathwayBrowser/#/R-HSA-69618	112	10	0.24285044538209094	41.17760617760618	2.957494132344885e-14	1.554163166547237e-11	1058;1062;1063;11004;11130;220134;55839;57405;79019;83540	pathway_Reactome	ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	http://reactome.org/PathwayBrowser/#/R-HSA-9648025	117	10	0.25369198312236285	39.41787941787942	4.6276252909166654e-14	2.161615191445962e-11	1058;1062;1063;11004;11130;220134;55839;57405;79019;83540	pathway_Reactome	ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
R-HSA-2467813	Separation of Sister Chromatids	http://reactome.org/PathwayBrowser/#/R-HSA-2467813	190	11	0.41197843413033286	26.700426742532006	1.619981276211951e-13	6.810401285195041e-11	1058;1062;1063;11004;11130;113130;220134;55839;57405;79019;83540	pathway_Reactome	ENSG00000146670;ENSG00000115163;ENSG00000138778;ENSG00000117724;ENSG00000100162;ENSG00000166451;ENSG00000291964;ENSG00000142945;ENSG00000143228;ENSG00000154839;ENSG00000262634;ENSG00000152253;ENSG00000277909;ENSG00000122952
