#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALPK2	CDCA2	9606.ENSP00000354991	9606.ENSP00000328228	0	0	0.460	0	0.070	0	0	0	0.476
ASPM	CENPM	9606.ENSP00000356379	9606.ENSP00000215980	0	0	0	0	0.360	0	0	0.439	0.626
ASPM	OIP5	9606.ENSP00000356379	9606.ENSP00000220514	0	0	0	0	0.644	0	0	0.327	0.750
ASPM	RAD51AP1	9606.ENSP00000356379	9606.ENSP00000228843	0	0	0	0	0.549	0	0	0.305	0.673
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0.799	0.994
ASPM	PIMREG	9606.ENSP00000356379	9606.ENSP00000250056	0	0	0	0	0.432	0	0	0.376	0.630
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0.702	0.972
ASPM	TROAP	9606.ENSP00000356379	9606.ENSP00000257909	0	0	0	0	0.648	0	0	0.358	0.764
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.954	0.078	0	0.589	0.981
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.944	0	0	0.665	0.980
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.583	0	0	0.418	0.746
ASPM	SPC25	9606.ENSP00000356379	9606.ENSP00000282074	0	0	0	0	0.815	0	0	0.231	0.852
ASPM	SKA1	9606.ENSP00000356379	9606.ENSP00000285116	0	0	0	0	0.382	0	0	0.456	0.649
ASPM	PCLAF	9606.ENSP00000356379	9606.ENSP00000300035	0	0	0	0	0.756	0	0	0.641	0.909
ASPM	CKAP2L	9606.ENSP00000356379	9606.ENSP00000305204	0	0	0	0	0.724	0	0	0.595	0.883
