geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	323	34	10.280340781224883	3.307283359914939	1.0450605496178373e-9	2.9057682169423505e-6	1277;1278;1281;1287;1289;1290;1296;1803;2192;2295;2670;2934;3908;4016;4239;4982;5156;7049;7075;7133;9507;11005;11174;25890;60681;64093;64116;64856;80781;92949;133584;140766;256764;340267	geneontology_Biological_Process_noRedundant	TNFRSF1B;ADAMTS6;TIE1;TGFBR3;FBLN1;COL1A1;LOXL1;COL5A1;GFAP;SPINK5;PDGFRA;FOXF2;ADAMTS14;SLC39A8;FKBP10;GSN;ABI3BP;ADAMTS4;EGFLAM;COL1A2;TNFRSF11B;WDR72;MFAP4;COL8A2;ADAMTSL1;VWA1;COL18A1;COL4A5;LAMA2;DPP4;SMOC1;COL5A2;COL28A1;COL3A1
GO:0045229	external encapsulating structure organization	http://amigo.geneontology.org/amigo/term/GO:0045229	324	34	10.312168461662113	3.2970756952238434	1.133294936404973e-9	2.9057682169423505e-6	1277;1278;1281;1287;1289;1290;1296;1803;2192;2295;2670;2934;3908;4016;4239;4982;5156;7049;7075;7133;9507;11005;11174;25890;60681;64093;64116;64856;80781;92949;133584;140766;256764;340267	geneontology_Biological_Process_noRedundant	TNFRSF1B;ADAMTS6;TIE1;TGFBR3;FBLN1;COL1A1;LOXL1;COL5A1;GFAP;SPINK5;PDGFRA;FOXF2;ADAMTS14;SLC39A8;FKBP10;GSN;ABI3BP;ADAMTS4;EGFLAM;COL1A2;TNFRSF11B;WDR72;MFAP4;COL8A2;ADAMTSL1;VWA1;COL18A1;COL4A5;LAMA2;DPP4;SMOC1;COL5A2;COL28A1;COL3A1
R-HSA-8948216	Collagen chain trimerization	http://reactome.org/PathwayBrowser/#/R-HSA-8948216	44	12	1.4004179392380647	8.568870523415978	8.042436908399062e-9	1.1470797888721773e-5	1277;1278;1281;1287;1289;1290;1292;1296;340267;57642;80781;81578	pathway_Reactome	COL20A1;COL1A1;COL21A1;COL5A1;COL6A2;COL1A2;COL8A2;COL18A1;COL4A5;COL5A2;COL28A1;COL3A1
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	300	31	9.548304131168623	3.246649831649832	8.94758025641324e-9	1.1470797888721773e-5	10319;1277;1278;1281;1287;1289;1290;1292;1296;140766;2192;2200;2201;3339;340267;3691;3908;4016;4052;4237;4239;50848;5654;57642;634;6385;80781;81578;8425;90187;9507	pathway_Reactome	LTBP1;LAMC3;FBLN1;CEACAM1;LTBP4;COL20A1;COL1A1;MFAP2;SDC4;COL21A1;LOXL1;COL5A1;ITGB4;ADAMTS14;FBN2;COL6A2;HSPG2;F11R;ADAMTS4;COL1A2;HTRA1;FBN1;MFAP4;COL8A2;COL18A1;EMILIN3;COL4A5;LAMA2;COL5A2;COL28A1;COL3A1
GO:0007389	pattern specification process	http://amigo.geneontology.org/amigo/term/GO:0007389	470	40	14.959009805497509	2.673973780356759	1.7439802970182425e-8	1.7886261926219095e-5	658;2253;2297;2348;2719;2735;3955;3975;4036;4212;4242;4838;5080;5089;5125;6781;6899;7044;7477;7479;7545;7547;8553;8831;10468;23314;27019;27023;30062;51176;53820;55079;55130;79192;84314;85407;221833;340260;352909;389549	geneontology_Biological_Process_noRedundant	PAX6;WNT8B;LRP2;PCSK5;MFNG;LFNG;FGF8;FOLR1;GLI1;SATB2;DNAI1;FEZF1;BHLHE40;MEIS2;FST;RAX;BMPR1B;LEF1;NKD1;LEFTY2;GPC3;ZIC1;FEZF2;NODAL;ZIC3;STC1;SP8;UNCX;DNAAF3;ODAD2;IRX1;FOXB1;TMEM107;RIPPLY3;TBX1;WNT7B;SYNGAP1;PBX2;FOXD1;LHX1
R-HSA-1474290	Collagen formation	http://reactome.org/PathwayBrowser/#/R-HSA-1474290	90	15	2.8644912393505866	5.236531986531987	1.4741848291807517e-7	1.1580571722182407e-4	1277;1278;1281;1287;1289;1290;1292;1296;140766;340267;3691;4016;57642;80781;81578	pathway_Reactome	COL20A1;COL1A1;COL21A1;LOXL1;COL5A1;ITGB4;ADAMTS14;COL6A2;COL1A2;COL8A2;COL18A1;COL4A5;COL5A2;COL28A1;COL3A1
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814	67	13	2.132454589294326	6.096261118649178	1.5808112725287997e-7	1.1580571722182407e-4	1277;1278;1281;1287;1289;1290;1292;1296;140766;340267;57642;80781;81578	pathway_Reactome	COL20A1;COL1A1;COL21A1;COL5A1;ADAMTS14;COL6A2;COL1A2;COL8A2;COL18A1;COL4A5;COL5A2;COL28A1;COL3A1
GO:0090596	sensory organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0090596	276	26	8.784439800675132	2.959778948909384	8.609744165748754e-7	5.114193286148735e-4	1289;1290;1296;2200;2201;2253;2295;3975;4237;4693;5080;5357;5396;6899;7545;7547;8820;8842;51168;51804;53904;54549;85407;115908;121227;148398	geneontology_Biological_Process_noRedundant	PROM1;PAX6;SDK2;MYO15A;MYO3A;SIX4;FGF8;PRRX1;MFAP2;PLS1;NDP;COL5A1;FOXF2;FBN2;LRIG3;NKD1;ZIC1;ZIC3;HESX1;CTHRC1;FBN1;COL8A2;TBX1;SAMD11;COL5A2;LHX1
hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+1277+1278+1281+1287+1289+1290+1292+1296+1803+340267+477+57642+80781+81578+8645	103	15	3.2782510850345603	4.575610473668726	8.975768247920947e-7	5.114193286148735e-4	1277;1278;1281;1287;1289;1290;1292;1296;1803;340267;477;57642;80781;81578;8645	pathway_KEGG	ATP1A2;COL20A1;COL1A1;COL21A1;COL5A1;COL6A2;KCNK5;COL1A2;COL8A2;COL18A1;COL4A5;DPP4;COL5A2;COL28A1;COL3A1
GO:0048568	embryonic organ development	http://amigo.geneontology.org/amigo/term/GO:0048568	458	35	14.577077640250764	2.4010299501565875	1.7406441982140085e-6	8.926023448441435e-4	100;677;860;2020;2200;2201;2253;2295;2348;2735;3975;4237;4838;5080;5089;5125;5156;5357;5396;5919;6899;7005;7477;7545;7547;8820;23314;51168;51176;51804;53904;80781;115908;121227;348093	geneontology_Biological_Process_noRedundant	PAX6;TEAD3;MYO15A;MYO3A;PCSK5;SIX4;RARRES2;FGF8;FOLR1;GLI1;PRRX1;MFAP2;SATB2;PLS1;RUNX2;PDGFRA;FOXF2;LEF1;FBN2;LRIG3;ZIC1;NODAL;ZIC3;HESX1;EN2;CTHRC1;FBN1;RBPMS2;COL18A1;TBX1;ZFP36L1;WNT7B;ADA;PBX2;LHX1
