#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-1474244	Extracellular matrix organization	49	300	1.73	9.89	2.61e-73	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000236040,9606.ENSP00000258341,9606.ENSP00000261921,9606.ENSP00000264741,9606.ENSP00000265379,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000315190,9606.ENSP00000323696,9606.ENSP00000325527,9606.ENSP00000327290,9606.ENSP00000331544,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000356975,9606.ENSP00000358310,9606.ENSP00000360882,9606.ENSP00000363827,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364685,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000378340,9606.ENSP00000378957,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901,9606.ENSP00000386043,9606.ENSP00000400365,9606.ENSP00000424571,9606.ENSP00000452120	ITGB4,LAMB1,ITGB8,COL1A1,P3H1,LAMC1,LOXL1,ITGA9,COL6A5,ITGA1,ITGB6,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,COL3A1,ITGA3,CRTAP,FBN1,ITGA11,FBLN1,COL4A5,FN1,COL9A1,COL6A6,COL18A1,COL4A2,LAMC3,COL6A1,ADAMTS4,ITGA10,COL5A1,HSPG2,COL5A2,COL15A1,MFAP2,COL4A1,ITGA8,COL4A6,MFAP4,ITGB1,COL4A3,COL4A4,COL8A2,LTBP1,LAMA2,FBN2,ITGA7
HSA-216083	Integrin cell surface interactions	34	85	2.12	13.27	1.28e-58	9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000264741,9606.ENSP00000265379,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000315190,9606.ENSP00000325527,9606.ENSP00000327290,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000358310,9606.ENSP00000360882,9606.ENSP00000363827,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901,9606.ENSP00000452120	ITGB8,COL1A1,ITGA9,COL6A5,ITGA1,ITGB6,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,COL3A1,ITGA3,FBN1,ITGA11,COL4A5,FN1,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,ITGA10,COL5A1,HSPG2,COL5A2,COL4A1,ITGA8,COL4A6,ITGB1,COL4A3,COL4A4,COL8A2,ITGA7
HSA-3000178	ECM proteoglycans	29	76	2.1	11.48	1.20e-48	9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000258341,9606.ENSP00000264741,9606.ENSP00000265379,9606.ENSP00000283249,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000363827,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000400365,9606.ENSP00000452120	LAMB1,COL1A1,LAMC1,ITGA9,COL6A5,ITGB6,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,COL3A1,COL4A5,FN1,COL9A1,COL6A6,COL4A2,COL6A1,COL5A1,HSPG2,COL5A2,COL4A1,ITGA8,COL4A6,ITGB1,COL4A3,COL4A4,LAMA2,ITGA7
HSA-1474228	Degradation of the extracellular matrix	27	140	1.8	7.7	4.71e-38	9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000258341,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000325527,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000356975,9606.ENSP00000360882,9606.ENSP00000363827,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901,9606.ENSP00000424571	LAMB1,COL1A1,LAMC1,COL6A5,COL6A3,COL1A2,COL6A2,COL3A1,FBN1,COL4A5,FN1,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,ADAMTS4,COL5A1,HSPG2,COL5A2,COL15A1,COL4A1,COL4A6,COL4A3,COL4A4,COL8A2,FBN2
HSA-1474290	Collagen formation	24	90	1.94	8.39	1.95e-36	9606.ENSP00000200181,9606.ENSP00000225964,9606.ENSP00000236040,9606.ENSP00000261921,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000323696,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901	ITGB4,COL1A1,P3H1,LOXL1,COL6A5,COL6A3,COL1A2,COL6A2,COL3A1,CRTAP,COL4A5,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,COL5A1,COL5A2,COL15A1,COL4A1,COL4A6,COL4A3,COL4A4,COL8A2
HSA-2022090	Assembly of collagen fibrils and other multimeric structures	22	61	2.07	8.98	1.18e-35	9606.ENSP00000200181,9606.ENSP00000225964,9606.ENSP00000261921,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901	ITGB4,COL1A1,LOXL1,COL6A5,COL6A3,COL1A2,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,COL5A1,COL5A2,COL15A1,COL4A1,COL4A6,COL4A3,COL4A4,COL8A2
HSA-1650814	Collagen biosynthesis and modifying enzymes	22	67	2.03	8.64	5.82e-35	9606.ENSP00000225964,9606.ENSP00000236040,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000323696,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901	COL1A1,P3H1,COL6A5,COL6A3,COL1A2,COL6A2,COL3A1,CRTAP,COL4A5,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,COL5A1,COL5A2,COL15A1,COL4A1,COL4A6,COL4A3,COL4A4,COL8A2
HSA-3000171	Non-integrin membrane-ECM interactions	21	59	2.07	8.61	6.44e-34	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000258341,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000360882,9606.ENSP00000363827,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000400365	ITGB4,LAMB1,COL1A1,LAMC1,ITGB5,ITGA2,COL1A2,COL3A1,COL4A5,FN1,COL4A2,LAMC3,COL5A1,HSPG2,COL5A2,COL4A1,COL4A6,ITGB1,COL4A3,COL4A4,LAMA2
HSA-8948216	Collagen chain trimerization	20	44	2.17	9.09	6.44e-34	9606.ENSP00000225964,9606.ENSP00000265379,9606.ENSP00000295550,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000331902,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364140,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380901	COL1A1,COL6A5,COL6A3,COL1A2,COL6A2,COL3A1,COL4A5,COL9A1,COL6A6,COL18A1,COL4A2,COL6A1,COL5A1,COL5A2,COL15A1,COL4A1,COL4A6,COL4A3,COL4A4,COL8A2
HSA-3000157	Laminin interactions	18	30	2.29	9.1	4.45e-32	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000282588,9606.ENSP00000296585,9606.ENSP00000315190,9606.ENSP00000331902,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000363827,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000400365,9606.ENSP00000452120	ITGB4,LAMB1,LAMC1,ITGA1,ITGA2,ITGA3,COL4A5,COL18A1,COL4A2,LAMC3,HSPG2,COL4A1,COL4A6,ITGB1,COL4A3,COL4A4,LAMA2,ITGA7
