#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-913531	Interferon Signaling	35	199	1.77	8.66	1.03e-49	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000233057,9606.ENSP00000252593,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000315768,9606.ENSP00000330825,9606.ENSP00000331602,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000343023,9606.ENSP00000354394,9606.ENSP00000354822,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000359497,9606.ENSP00000359504,9606.ENSP00000359512,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000483430,9606.ENSP00000484689,9606.ENSP00000490935	USP18,OAS3,EIF2AK2,BST2,HERC5,UBE2L6,STAT2,IFITM1,PRKCD,MX2,OAS2,IFI6,SP100,STAT1,XAF1,GBP5,GBP4,GBP2,GBP1,GBP3,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,RSAD2,IRF9,IRF7,MX1,IFITM3,OAS1,IFI35,IFI27,IFITM2,IFIT2
HSA-909733	Interferon alpha/beta signaling	24	71	2.05	9.39	2.15e-38	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000315768,9606.ENSP00000330825,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354394,9606.ENSP00000354822,9606.ENSP00000359497,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000483430,9606.ENSP00000484689,9606.ENSP00000490935	USP18,OAS3,BST2,STAT2,IFITM1,MX2,OAS2,IFI6,STAT1,XAF1,GBP2,IFIT5,IFIT1,IFIT3,RSAD2,IRF9,IRF7,MX1,IFITM3,OAS1,IFI35,IFI27,IFITM2,IFIT2
HSA-1280215	Cytokine Signaling in Immune system	37	706	1.24	3.68	2.50e-35	9606.ENSP00000011653,9606.ENSP00000215794,9606.ENSP00000222823,9606.ENSP00000228928,9606.ENSP00000233057,9606.ENSP00000252593,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000315768,9606.ENSP00000330825,9606.ENSP00000331602,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000343023,9606.ENSP00000354394,9606.ENSP00000354822,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000359497,9606.ENSP00000359504,9606.ENSP00000359512,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000483430,9606.ENSP00000484689,9606.ENSP00000490935	CD4,USP18,NOD1,OAS3,EIF2AK2,BST2,HERC5,UBE2L6,STAT2,IFITM1,PRKCD,MX2,OAS2,IFI6,SP100,STAT1,XAF1,GBP5,GBP4,GBP2,GBP1,GBP3,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,RSAD2,IRF9,IRF7,MX1,IFITM3,OAS1,IFI35,IFI27,IFITM2,IFIT2
HSA-168256	Immune System	43	1979	0.86	1.78	2.17e-27	9606.ENSP00000011653,9606.ENSP00000215794,9606.ENSP00000217740,9606.ENSP00000222823,9606.ENSP00000228928,9606.ENSP00000233057,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000264346,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000330825,9606.ENSP00000331602,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000343023,9606.ENSP00000354394,9606.ENSP00000354822,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000359497,9606.ENSP00000359504,9606.ENSP00000359512,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000380697,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000460475,9606.ENSP00000483430,9606.ENSP00000484689,9606.ENSP00000490935,9606.ENSP00000497271	CD4,USP18,RNF125,NOD1,OAS3,EIF2AK2,DHX58,BST2,HERC6,HERC5,UBE2L6,DTX3L,STAT2,IFITM1,PRKCD,MX2,OAS2,IFI6,SP100,STAT1,XAF1,GBP5,GBP4,GBP2,GBP1,GBP3,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,RSAD2,IRF9,IRF7,MX1,IFITM3,OAS1,IFI35,NLRP1,IFI27,IFITM2,IFIT2,IFIH1
HSA-877300	Interferon gamma signaling	14	90	1.72	4.18	2.53e-17	9606.ENSP00000228928,9606.ENSP00000331602,9606.ENSP00000342278,9606.ENSP00000343023,9606.ENSP00000354394,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000359497,9606.ENSP00000359504,9606.ENSP00000359512,9606.ENSP00000369299,9606.ENSP00000380073,9606.ENSP00000380697,9606.ENSP00000388001	OAS3,PRKCD,OAS2,SP100,STAT1,GBP5,GBP4,GBP2,GBP1,GBP3,TRIM22,IRF9,IRF7,OAS1
HSA-1169410	Antiviral mechanism by IFN-stimulated genes	12	82	1.69	3.56	2.31e-14	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000233057,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000381601,9606.ENSP00000388001	USP18,OAS3,EIF2AK2,HERC5,UBE2L6,MX2,OAS2,STAT1,IFIT1,DDX58,MX1,OAS1
HSA-1169408	ISG15 antiviral mechanism	9	74	1.61	2.48	9.01e-10	9606.ENSP00000215794,9606.ENSP00000233057,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000333657,9606.ENSP00000354394,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000381601	USP18,EIF2AK2,HERC5,UBE2L6,MX2,STAT1,IFIT1,DDX58,MX1
HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	7	80	1.47	1.6	2.03e-06	9606.ENSP00000217740,9606.ENSP00000251642,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000369213,9606.ENSP00000380697,9606.ENSP00000497271	RNF125,DHX58,HERC5,UBE2L6,DDX58,IRF7,IFIH1
HSA-8983711	OAS antiviral response	4	9	2.17	1.62	1.27e-05	9606.ENSP00000228928,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000388001	OAS3,OAS2,DDX58,OAS1
HSA-936440	Negative regulators of DDX58/IFIH1 signaling	5	34	1.69	1.43	2.43e-05	9606.ENSP00000217740,9606.ENSP00000264350,9606.ENSP00000287156,9606.ENSP00000369213,9606.ENSP00000497271	RNF125,HERC5,UBE2L6,DDX58,IFIH1
