#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BST2	CD4	9606.ENSP00000252593	9606.ENSP00000011653	0	0	0	0	0.062	0	0	0.784	0.788
BST2	USP18	9606.ENSP00000252593	9606.ENSP00000215794	0	0	0	0	0.385	0	0	0.487	0.671
BST2	OAS3	9606.ENSP00000252593	9606.ENSP00000228928	0	0	0	0	0.362	0	0	0.479	0.653
BST2	EIF2AK2	9606.ENSP00000252593	9606.ENSP00000233057	0	0	0	0	0.299	0	0	0.570	0.685
BST2	DHX58	9606.ENSP00000252593	9606.ENSP00000251642	0	0	0	0	0.312	0	0	0.350	0.533
BST2	PLSCR1	9606.ENSP00000252593	9606.ENSP00000345494	0	0	0	0	0.211	0	0	0.271	0.400
BST2	EPSTI1	9606.ENSP00000252593	9606.ENSP00000318982	0	0	0	0	0.259	0	0	0.235	0.410
BST2	SAMD9	9606.ENSP00000252593	9606.ENSP00000369292	0	0	0	0	0.201	0	0	0.298	0.415
BST2	PARP12	9606.ENSP00000252593	9606.ENSP00000263549	0	0	0	0	0.257	0	0	0.258	0.425
BST2	IFIT5	9606.ENSP00000252593	9606.ENSP00000360860	0	0	0	0	0.207	0	0	0.314	0.433
BST2	GBP5	9606.ENSP00000252593	9606.ENSP00000359488	0	0	0	0	0.148	0	0	0.394	0.462
BST2	CMPK2	9606.ENSP00000252593	9606.ENSP00000256722	0	0	0	0	0.201	0	0	0.361	0.468
BST2	PARP9	9606.ENSP00000252593	9606.ENSP00000353512	0	0	0	0	0.328	0	0	0.300	0.510
BST2	HERC6	9606.ENSP00000252593	9606.ENSP00000264346	0	0	0	0	0.268	0	0	0.365	0.516
BST2	GBP1	9606.ENSP00000252593	9606.ENSP00000359504	0	0	0	0	0.262	0	0	0.394	0.534
BST2	LY6E	9606.ENSP00000252593	9606.ENSP00000428572	0	0	0	0	0.349	0	0	0.321	0.539
BST2	DDX60	9606.ENSP00000252593	9606.ENSP00000377344	0	0	0	0	0.241	0	0	0.436	0.553
BST2	IFI27	9606.ENSP00000252593	9606.ENSP00000483430	0	0	0	0	0.289	0	0	0.479	0.614
BST2	IFITM2	9606.ENSP00000252593	9606.ENSP00000484689	0	0	0	0	0.255	0	0	0.505	0.615
BST2	RTP4	9606.ENSP00000252593	9606.ENSP00000259030	0	0	0	0	0.414	0	0	0.377	0.620
BST2	TRIM22	9606.ENSP00000252593	9606.ENSP00000369299	0	0	0	0	0.191	0	0	0.581	0.646
BST2	IFIT2	9606.ENSP00000252593	9606.ENSP00000490935	0	0	0	0	0.272	0	0	0.535	0.647
BST2	HERC5	9606.ENSP00000252593	9606.ENSP00000264350	0	0	0	0	0.393	0	0	0.482	0.672
BST2	IFIH1	9606.ENSP00000252593	9606.ENSP00000497271	0	0	0	0	0.372	0	0	0.509	0.678
BST2	IFI44L	9606.ENSP00000252593	9606.ENSP00000359787	0	0	0	0	0.452	0	0	0.448	0.684
BST2	UBE2L6	9606.ENSP00000252593	9606.ENSP00000287156	0	0	0	0	0.530	0	0	0.364	0.688
BST2	XAF1	9606.ENSP00000252593	9606.ENSP00000354822	0	0	0	0	0.517	0	0	0.397	0.696
