geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	410	34	7.544538209095171	4.50657138418518	2.075879561111424e-13	8.726997674912426e-10	10369;1141;114798;169522;22865;22999;2742;2893;2904;2915;320;3736;3738;3741;3756;3763;3775;3788;51305;51807;5579;55799;56659;57369;57497;6505;6529;6580;6616;6854;80059;84631;8499;9312	pathway_Reactome	ENSG00000079841;ENSG00000101958;ENSG00000106688;ENSG00000107282;ENSG00000111262;ENSG00000121871;ENSG00000130037;ENSG00000132639;ENSG00000135750;ENSG00000139220;ENSG00000143473;ENSG00000152315;ENSG00000152578;ENSG00000156486;ENSG00000156564;ENSG00000157103;ENSG00000157152;ENSG00000157445;ENSG00000157542;ENSG00000159248;ENSG00000160716;ENSG00000166501;ENSG00000166862;ENSG00000168263;ENSG00000168959;ENSG00000169427;ENSG00000175003;ENSG00000176204;ENSG00000177272;ENSG00000178235;ENSG00000182674;ENSG00000183785;ENSG00000185985;ENSG00000273079
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	468	34	8.611814345991561	3.948064674179324	8.633113065451686e-12	1.8146803663579445e-8	134;154;320;1129;1141;1268;1812;2893;2894;2904;2915;2917;2982;3269;3351;5579;6505;6529;6616;7425;7779;8499;10369;22849;22999;23237;23657;23732;25769;26059;57497;266743;388336;729993	geneontology_Biological_Process_noRedundant	ENSG00000079841;ENSG00000106688;ENSG00000107282;ENSG00000107864;ENSG00000118432;ENSG00000128564;ENSG00000132639;ENSG00000135312;ENSG00000139220;ENSG00000151012;ENSG00000152578;ENSG00000155886;ENSG00000156564;ENSG00000157103;ENSG00000160716;ENSG00000163485;ENSG00000164116;ENSG00000166501;ENSG00000166862;ENSG00000168959;ENSG00000169252;ENSG00000170385;ENSG00000174576;ENSG00000181072;ENSG00000182771;ENSG00000184845;ENSG00000187672;ENSG00000188803;ENSG00000196277;ENSG00000196639;ENSG00000198576;ENSG00000237515;ENSG00000260230;ENSG00000273079
hsa04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04080+10888+1129+1141+1268+1325+134+154+1812+2151+2742+2798+2834+2893+2894+2904+2915+2917+3269+3351+3354+344838+4160+4886+4923+5618+7425	367	26	6.753281762775433	3.8499800413058196	4.688059371837216e-9	6.133984404838603e-6	10888;1129;1141;1268;1325;134;154;1812;2151;2742;2798;2834;2893;2894;2904;2915;2917;3269;3351;3354;344838;4160;4886;4923;5618;7425	pathway_KEGG	ENSG00000101188;ENSG00000101958;ENSG00000109163;ENSG00000113494;ENSG00000118432;ENSG00000119973;ENSG00000123901;ENSG00000128564;ENSG00000135312;ENSG00000152578;ENSG00000160716;ENSG00000163485;ENSG00000164128;ENSG00000164220;ENSG00000166603;ENSG00000168830;ENSG00000168959;ENSG00000169252;ENSG00000181072;ENSG00000182771;ENSG00000184845;ENSG00000188582;ENSG00000196277;ENSG00000196639;ENSG00000241563;ENSG00000273079
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	319	24	5.870018752930146	4.088572968871673	5.836331498419223e-9	6.133984404838603e-6	134;1141;1268;1393;1620;1812;1827;2353;2904;2915;3269;4923;6310;6446;6505;6529;6616;10396;22849;23237;23657;25769;26047;266743	geneontology_Biological_Process_noRedundant	ENSG00000078725;ENSG00000101188;ENSG00000106688;ENSG00000107864;ENSG00000118432;ENSG00000118515;ENSG00000124406;ENSG00000124788;ENSG00000132639;ENSG00000145708;ENSG00000151012;ENSG00000155886;ENSG00000157103;ENSG00000159200;ENSG00000160716;ENSG00000163485;ENSG00000168959;ENSG00000170345;ENSG00000174469;ENSG00000174576;ENSG00000184845;ENSG00000196639;ENSG00000198576;ENSG00000273079
GO:0050808	synapse organization	http://amigo.geneontology.org/amigo/term/GO:0050808	478	29	8.795827473042664	3.2970178290648398	1.9384136123904665e-8	1.629818165297904e-5	1006;1141;1812;2894;2904;2915;6505;6529;6616;8499;8851;10243;10369;22865;23237;23657;23732;26052;26059;27445;53942;57497;57731;84631;91752;114798;145581;266743;388336	geneontology_Biological_Process_noRedundant	ENSG00000106688;ENSG00000121871;ENSG00000132639;ENSG00000139220;ENSG00000149972;ENSG00000150394;ENSG00000151012;ENSG00000156564;ENSG00000157103;ENSG00000160460;ENSG00000160716;ENSG00000165379;ENSG00000166862;ENSG00000168959;ENSG00000170396;ENSG00000171723;ENSG00000174576;ENSG00000176749;ENSG00000178235;ENSG00000182771;ENSG00000184845;ENSG00000185985;ENSG00000186472;ENSG00000187672;ENSG00000188803;ENSG00000197959;ENSG00000198576;ENSG00000260230;ENSG00000273079
GO:0006813	potassium ion transport	http://amigo.geneontology.org/amigo/term/GO:0006813	232	19	4.2691045475855605	4.450582033823852	6.171757063422265e-8	4.3243444491045335e-5	134;1812;3736;3738;3741;3756;3763;3775;3788;4842;6000;6549;6616;9312;25769;51305;56659;57419;169522	geneontology_Biological_Process_noRedundant	ENSG00000089250;ENSG00000111262;ENSG00000115616;ENSG00000130037;ENSG00000132639;ENSG00000135750;ENSG00000143473;ENSG00000152315;ENSG00000155886;ENSG00000156486;ENSG00000157542;ENSG00000163485;ENSG00000168263;ENSG00000169427;ENSG00000177272;ENSG00000182674;ENSG00000182901;ENSG00000184845;ENSG00000185052
WP5420	ADHD and autism ASD linked metabolic pathways and SNP	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP5420&label[]=NOS1&label[]=SCN1B&label[]=KCNA1&label[]=CNR1&label[]=KCNA5&label[]=SNAP25&label[]=CNTN6&label[]=SCN2B&label[]=CNTN5&label[]=GRIA4&label[]=SLC6A1&label[]=MC4R&label[]=CACNG2&label[]=HTR1E&label[]=GRM5&label[]=ADRB2&label[]=GPHN&label[]=CNTNAP2&label[]=KCNA3&label[]=GRM7&label[]=GRIN2B&colors=steelblue	285	21	5.244374120956399	4.004290982232652	7.6626127061529e-8	4.601946259523827e-5	27255;26047;53942;154;6529;1268;4842;6327;6324;10243;3354;6616;3736;2915;3738;2904;3741;2917;4160;2893;10369	pathway_WikiPathways	ENSG00000089250;ENSG00000105711;ENSG00000111262;ENSG00000118432;ENSG00000130037;ENSG00000132639;ENSG00000134115;ENSG00000149575;ENSG00000149972;ENSG00000152578;ENSG00000157103;ENSG00000166603;ENSG00000166862;ENSG00000168830;ENSG00000168959;ENSG00000169252;ENSG00000171723;ENSG00000174469;ENSG00000177272;ENSG00000196277;ENSG00000273079
GO:0023061	signal release	http://amigo.geneontology.org/amigo/term/GO:0023061	486	28	8.943037974683545	3.1309271054493983	1.0200543480498997e-7	5.3603855990022226e-5	134;1141;1268;1393;2044;2151;2798;3351;3741;4160;4856;5579;6616;6659;6854;6861;7036;7425;7447;7779;8499;8609;9751;11069;22999;23409;26059;27445	geneontology_Biological_Process_noRedundant	ENSG00000079841;ENSG00000089163;ENSG00000091428;ENSG00000101298;ENSG00000106327;ENSG00000109163;ENSG00000118263;ENSG00000118432;ENSG00000124766;ENSG00000128564;ENSG00000129990;ENSG00000130037;ENSG00000132639;ENSG00000135312;ENSG00000136999;ENSG00000139220;ENSG00000145242;ENSG00000145708;ENSG00000157152;ENSG00000160716;ENSG00000163032;ENSG00000163485;ENSG00000164220;ENSG00000166501;ENSG00000166603;ENSG00000170385;ENSG00000186472;ENSG00000187672
GO:0042886	amide transport	http://amigo.geneontology.org/amigo/term/GO:0042886	354	23	6.514064697609001	3.53082154809457	1.8031967090332648e-7	8.422932183084272e-5	134;320;1268;1393;2044;2151;2917;3741;4160;4856;4923;5579;6505;6616;6659;7036;7425;7447;8609;11069;23409;23657;27445	geneontology_Biological_Process_noRedundant	ENSG00000089163;ENSG00000091428;ENSG00000101188;ENSG00000106327;ENSG00000106688;ENSG00000107282;ENSG00000118263;ENSG00000118432;ENSG00000124766;ENSG00000128564;ENSG00000130037;ENSG00000132639;ENSG00000136999;ENSG00000145242;ENSG00000145708;ENSG00000151012;ENSG00000163032;ENSG00000163485;ENSG00000164220;ENSG00000166501;ENSG00000166603;ENSG00000186472;ENSG00000196277
GO:0015837	amine transport	http://amigo.geneontology.org/amigo/term/GO:0015837	107	12	1.9689404594467885	6.094648490981606	6.357593727990293e-7	2.672732403247119e-4	134;1141;1268;1812;2917;3351;4923;5579;6529;6861;8140;124935	geneontology_Biological_Process_noRedundant	ENSG00000101188;ENSG00000103257;ENSG00000118432;ENSG00000129990;ENSG00000135312;ENSG00000157103;ENSG00000160716;ENSG00000163485;ENSG00000166501;ENSG00000167703;ENSG00000184845;ENSG00000196277
