geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	410	56	4.877029416492525	11.482399472643376	2.2083472897512995e-43	1.1324404901844663e-39	10369;1141;114798;116443;140679;169522;1742;22865;22871;22999;27092;2742;2770;285242;2890;2891;2892;2893;2902;2903;2904;2905;2906;2915;320;3736;3738;3741;3756;3763;3775;51305;51807;54331;5579;55799;56659;57030;57369;57497;59283;6505;6529;6616;6854;773;80059;815;816;8224;84631;8499;9312;9378;9379;9456	pathway_Reactome	ENSG00000107282;ENSG00000276497;ENSG00000141837;ENSG00000157445;ENSG00000166862;ENSG00000075461;ENSG00000142408;ENSG00000070808;ENSG00000058404;ENSG00000160716;ENSG00000132535;ENSG00000159248;ENSG00000101958;ENSG00000127955;ENSG00000186469;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000152413;ENSG00000186038;ENSG00000111262;ENSG00000177272;ENSG00000130037;ENSG00000182674;ENSG00000143473;ENSG00000157542;ENSG00000135750;ENSG00000152315;ENSG00000169427;ENSG00000168263;ENSG00000156564;ENSG00000176204;ENSG00000169760;ENSG00000179915;ENSG00000110076;ENSG00000139220;ENSG00000166501;ENSG00000079841;ENSG00000104888;ENSG00000106688;ENSG00000101438;ENSG00000157103;ENSG00000178235;ENSG00000185985;ENSG00000121871;ENSG00000132639;ENSG00000157152;ENSG00000185666;ENSG00000183785
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	468	54	5.566950651020736	9.70010395010395	7.55291208217413e-38	1.936566657869447e-34	134;154;320;773;815;816;1129;1141;1268;1742;1812;1813;2890;2891;2892;2893;2894;2902;2903;2904;2905;2906;2915;2917;2982;3269;3351;3356;5579;6505;6529;6616;7425;7779;8224;8499;9378;9456;10369;22849;22871;22999;23237;23657;23732;25769;26059;27092;57497;59283;116443;266743;388336;729993	geneontology_Biological_Process_noRedundant	ENSG00000163485;ENSG00000169252;ENSG00000107282;ENSG00000276497;ENSG00000198576;ENSG00000141837;ENSG00000166862;ENSG00000075461;ENSG00000142408;ENSG00000070808;ENSG00000058404;ENSG00000181072;ENSG00000160716;ENSG00000118432;ENSG00000107864;ENSG00000132535;ENSG00000184845;ENSG00000149295;ENSG00000187672;ENSG00000260230;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000182771;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000196277;ENSG00000164116;ENSG00000152413;ENSG00000196639;ENSG00000135312;ENSG00000102468;ENSG00000156564;ENSG00000169760;ENSG00000174576;ENSG00000179915;ENSG00000139220;ENSG00000166501;ENSG00000079841;ENSG00000188803;ENSG00000237515;ENSG00000106688;ENSG00000155886;ENSG00000170385;ENSG00000157103;ENSG00000151012;ENSG00000132639;ENSG00000185666;ENSG00000128564
WP5420	ADHD and autism ASD linked metabolic pathways and SNP	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP5420&label[]=ADRB2&label[]=CACNA1C&label[]=CACNA1C-IT2&label[]=CACNA1C&label[]=CACNA1C-IT2&label[]=CACNG2&label[]=CACNG4&label[]=CACNG8&label[]=CNR1&label[]=CNTN5&label[]=CNTN6&label[]=CNTNAP2&label[]=CNTNAP2&label[]=DLG4&label[]=DRD2&label[]=GPHN&label[]=GRIA1&label[]=GRIA2&label[]=GRIA3&label[]=GRIA4&label[]=GRIN1&label[]=GRIN2A&label[]=GRIN2B&label[]=GRIN2C&label[]=GRIN2D&label[]=GRIN3A&label[]=GRM5&label[]=GRM7&label[]=HOMER1&label[]=HTR1E&label[]=HTR2A&label[]=HTR3E&label[]=KCNA1&label[]=KCNA3&label[]=KCNA5&label[]=MC4R&label[]=NLGN1&label[]=NOS1&label[]=NRXN1&label[]=NRXN2&label[]=SCN1B&label[]=SCN2B&label[]=SLC17A6&label[]=SLC32A1&label[]=SLC6A1&label[]=SNAP25&colors=steelblue	285	43	3.390130204147243	12.683878615457562	5.010697054635553e-35	8.564951498723705e-32	27255;57084;26047;53942;1813;154;1742;6529;1268;4842;6327;6324;10243;3354;3356;6616;3736;2915;3738;2905;2904;2890;2902;2903;3741;2891;2917;4160;2893;22871;9379;116443;2906;2892;9378;9456;10369;285242;27092;59283;100874369;775;140679	pathway_WikiPathways	ENSG00000169252;ENSG00000151067;ENSG00000151067;ENSG00000285479;ENSG00000285479;ENSG00000166862;ENSG00000075461;ENSG00000142408;ENSG00000118432;ENSG00000149972;ENSG00000134115;ENSG00000174469;ENSG00000278728;ENSG00000132535;ENSG00000149295;ENSG00000171723;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000196277;ENSG00000152413;ENSG00000168830;ENSG00000102468;ENSG00000186038;ENSG00000111262;ENSG00000177272;ENSG00000130037;ENSG00000166603;ENSG00000169760;ENSG00000089250;ENSG00000179915;ENSG00000110076;ENSG00000105711;ENSG00000149575;ENSG00000091664;ENSG00000101438;ENSG00000157103;ENSG00000132639
GO:0035249	synaptic transmission, glutamatergic	http://amigo.geneontology.org/amigo/term/GO:0035249	111	29	1.3203665005626106	21.963598733869002	4.24967528796046e-31	5.44808371916531e-28	134;1006;1268;1812;1813;2890;2891;2892;2893;2894;2902;2903;2904;2905;2906;2915;2917;3351;3356;9378;9456;10369;22871;23732;27092;57030;57084;59283;116443	geneontology_Biological_Process_noRedundant	ENSG00000163485;ENSG00000166862;ENSG00000075461;ENSG00000142408;ENSG00000150394;ENSG00000118432;ENSG00000184845;ENSG00000149295;ENSG00000260230;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000182771;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000196277;ENSG00000152413;ENSG00000135312;ENSG00000102468;ENSG00000169760;ENSG00000179915;ENSG00000091664;ENSG00000104888
R-HSA-112315	Transmission across Chemical Synapses	http://reactome.org/PathwayBrowser/#/R-HSA-112315	270	36	3.2117022986658093	11.209009009009009	2.110033378278389e-27	2.1640502327623158e-24	10369;1141;116443;140679;1742;22999;27092;2742;2770;285242;2890;2891;2892;2893;2902;2903;2904;2905;2906;320;3763;51807;54331;5579;55799;57030;59283;6505;6529;6616;6854;773;815;816;8224;8499	pathway_Reactome	ENSG00000107282;ENSG00000276497;ENSG00000141837;ENSG00000157445;ENSG00000166862;ENSG00000075461;ENSG00000142408;ENSG00000070808;ENSG00000058404;ENSG00000160716;ENSG00000132535;ENSG00000101958;ENSG00000127955;ENSG00000186469;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000186038;ENSG00000157542;ENSG00000139220;ENSG00000166501;ENSG00000079841;ENSG00000104888;ENSG00000106688;ENSG00000101438;ENSG00000157103;ENSG00000132639;ENSG00000157152;ENSG00000185666;ENSG00000183785
GO:0042391	regulation of membrane potential	http://amigo.geneontology.org/amigo/term/GO:0042391	427	39	5.079247709371484	7.678302424204063	1.8974116748426573e-23	1.6216545114321912e-20	134;154;775;776;1141;1268;1742;1812;1813;2742;2890;2891;2892;2893;2894;2902;2903;2904;2905;2906;2915;3736;3741;3756;3775;4923;6324;6327;7224;9378;10369;22871;22999;51305;56659;57369;116443;266743;285242	geneontology_Biological_Process_noRedundant	ENSG00000163485;ENSG00000169252;ENSG00000151067;ENSG00000285479;ENSG00000157388;ENSG00000166862;ENSG00000160716;ENSG00000118432;ENSG00000132535;ENSG00000184845;ENSG00000149295;ENSG00000159248;ENSG00000101958;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000182771;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000186038;ENSG00000111262;ENSG00000130037;ENSG00000143473;ENSG00000135750;ENSG00000152315;ENSG00000169427;ENSG00000169760;ENSG00000174576;ENSG00000179915;ENSG00000101188;ENSG00000079841;ENSG00000105711;ENSG00000149575;ENSG00000072315
hsa04724	Glutamatergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04724+116443+1742+2770+2890+2891+2892+2893+2902+2903+2904+2905+2906+2915+2917+54331+5579+57030+57084+6505+773+775+776+8605+9456	115	24	1.3679472753576596	17.544535840188015	2.4660372718297945e-23	1.8065484471347408e-20	116443;1742;2770;2890;2891;2892;2893;2902;2903;2904;2905;2906;2915;2917;54331;5579;57030;57084;6505;773;775;776;8605;9456	pathway_KEGG	ENSG00000141837;ENSG00000151067;ENSG00000285479;ENSG00000157388;ENSG00000132535;ENSG00000127955;ENSG00000186469;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000196277;ENSG00000152413;ENSG00000105499;ENSG00000166501;ENSG00000091664;ENSG00000104888;ENSG00000106688
hsa04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04080+10888+1129+1141+116443+1268+1325+134+154+1812+1813+2151+2742+2798+2834+2890+2891+2892+2893+2894+2902+2903+2904+2905+2906+2915+2917+3269+3351+3354+3356+4160+4852+4886+4923+5618+7425	367	36	4.365536087445748	8.246409897636056	9.926294635739886e-23	6.362754861509267e-20	10888;1129;1141;116443;1268;1325;134;154;1812;1813;2151;2742;2798;2834;2890;2891;2892;2893;2894;2902;2903;2904;2905;2906;2915;2917;3269;3351;3354;3356;4160;4852;4886;4923;5618;7425	pathway_KEGG	ENSG00000163485;ENSG00000169252;ENSG00000181072;ENSG00000160716;ENSG00000118432;ENSG00000241563;ENSG00000184845;ENSG00000149295;ENSG00000164220;ENSG00000101958;ENSG00000109163;ENSG00000123901;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000182771;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000168959;ENSG00000196277;ENSG00000196639;ENSG00000135312;ENSG00000168830;ENSG00000102468;ENSG00000166603;ENSG00000122585;ENSG00000164128;ENSG00000101188;ENSG00000119973;ENSG00000113494;ENSG00000128564
WP5398	NRXN1 deletion syndrome	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP5398&label[]=DLG4&label[]=GRIA1&label[]=GRIA2&label[]=GRIA3&label[]=GRIA4&label[]=GRIN1&label[]=GRIN2A&label[]=GRIN2B&label[]=GRIN2C&label[]=GRIN2D&label[]=GRIN3A&label[]=NLGN1&label[]=NRXN1&colors=steelblue	17	13	0.20221829287895837	64.28696343402225	1.5293727850077895e-22	8.714026268355494e-20	2905;2904;2902;9378;2893;116443;1742;2903;2890;22871;2891;2892;2906	pathway_WikiPathways	ENSG00000132535;ENSG00000155511;ENSG00000120251;ENSG00000125675;ENSG00000152578;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000198785;ENSG00000169760;ENSG00000179915
R-HSA-6794362	Protein-protein interactions at synapses	http://reactome.org/PathwayBrowser/#/R-HSA-6794362	86	21	1.022986658093554	20.528126964173477	4.274836762251151e-22	2.19213629168239e-19	114798;1742;22865;22871;2890;2892;2893;2902;2903;2904;2905;2906;2915;320;57497;80059;84631;8499;9378;9379;9456	pathway_Reactome	ENSG00000107282;ENSG00000276497;ENSG00000132535;ENSG00000155511;ENSG00000125675;ENSG00000152578;ENSG00000176884;ENSG00000183454;ENSG00000273079;ENSG00000161509;ENSG00000105464;ENSG00000168959;ENSG00000152413;ENSG00000156564;ENSG00000176204;ENSG00000169760;ENSG00000179915;ENSG00000110076;ENSG00000139220;ENSG00000178235;ENSG00000185985;ENSG00000121871
