geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	410	10	1.9702297233942803	5.075550267697799	2.6296881191406373e-5	0.11055208852867239	10815;23415;27133;321;348980;3766;3768;6511;6540;80852	pathway_Reactome	SLC6A13;APBA2;KCNH4;SLC1A6;KCNH5;GRIP2;HCN1;CPLX1;KCNJ10;KCNJ12
GO:0006836	neurotransmitter transport	http://amigo.geneontology.org/amigo/term/GO:0006836	205	7	0.9851148616971401	7.1057703747769185	5.7837040574456476e-5	0.12157345928750751	2852;3766;5799;6511;6540;10815;140730	geneontology_Biological_Process_noRedundant	SLC6A13;RIMS4;SLC1A6;PTPRN2;GPER1;CPLX1;KCNJ10
GO:0006813	potassium ion transport	http://amigo.geneontology.org/amigo/term/GO:0006813	232	7	1.1148616971401781	6.2788057190916735	1.254790283108859e-4	0.1441649911939475	1804;3766;3768;23415;27133;80333;348980	geneontology_Biological_Process_noRedundant	KCNH4;DPP6;KCNH5;HCN1;KCNJ10;KCNJ12;KCNIP4
R-HSA-1296071	Potassium Channels	http://reactome.org/PathwayBrowser/#/R-HSA-1296071	103	5	0.4949601500234412	10.101823348330571	1.371693541331565e-4	0.1441649911939475	23415;27133;348980;3766;3768	pathway_Reactome	KCNH4;KCNH5;HCN1;KCNJ10;KCNJ12
GO:0071774	response to fibroblast growth factor	http://amigo.geneontology.org/amigo/term/GO:0071774	115	5	0.552625410220347	9.047720042417815	2.2991858551746187e-4	0.19331554670308193	2252;4804;23213;55959;387914	geneontology_Biological_Process_noRedundant	NGFR;SULF1;FGF7;SHISA2;SULF2
GO:0003018	vascular process in circulatory system	http://amigo.geneontology.org/amigo/term/GO:0003018	269	7	1.2926629160806375	5.415178166651555	3.106165598391058e-4	0.21763866959393344	2852;4880;6540;8671;11309;80852;387700	geneontology_Biological_Process_noRedundant	SLC6A13;SLC4A4;SLCO2B1;GRIP2;SLC16A12;NPPC;GPER1
GO:0001763	morphogenesis of a branching structure	http://amigo.geneontology.org/amigo/term/GO:0001763	204	6	0.980309423347398	6.12051649928264	4.464743037161748e-4	0.26813971040325696	2252;3169;23213;57471;64478;255743	geneontology_Biological_Process_noRedundant	FOXA1;ERMN;SULF1;FGF7;NPNT;CSMD1
GO:2000027	regulation of animal organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:2000027	89	4	0.4276840131270511	9.352699369690326	8.868925372102453e-4	0.4660620283039839	2252;4804;23213;55897	geneontology_Biological_Process_noRedundant	NGFR;SULF1;FGF7;MESP1
GO:0042391	regulation of membrane potential	http://amigo.geneontology.org/amigo/term/GO:0042391	427	8	2.051922175339897	3.8987833438053348	0.0010183387350725791	0.47567733802723583	2852;3766;6511;8671;23415;27133;140730;348980	geneontology_Biological_Process_noRedundant	SLC4A4;KCNH4;RIMS4;SLC1A6;KCNH5;HCN1;GPER1;KCNJ10
R-HSA-425407	SLC-mediated transmembrane transport	http://reactome.org/PathwayBrowser/#/R-HSA-425407	247	6	1.1869432723863103	5.055001481188901	0.0012105404382324195	0.5089112002329091	11309;30061;51296;6511;6540;8671	pathway_Reactome	SLC6A13;SLC4A4;SLC1A6;SLC15A3;SLCO2B1;SLC40A1
