geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006813	potassium ion transport	http://amigo.geneontology.org/amigo/term/GO:0006813	232	36	0.6223593320367514	57.84439655172414	4.203490961082703e-62	3.526728916348388e-59	1804;3739;3741;3746;3749;3750;3751;3752;3753;3756;3757;3759;3761;3762;3766;3768;3784;3785;3786;7881;8514;9132;9196;9992;10008;10021;23415;23630;23704;27133;30819;30820;56479;57628;80333;100134444	KCNE4;KCND1;KCNA4;KCNJ2;KCNQ5;KCNIP2;DPP10;KCNJ18;DPP6;KCNH1;KCNAB3;KCNE1;KCNH4;KCNE5;KCNJ4;KCND2;KCNE3;KCND3;KCNH2;KCNQ1;KCNJ12;KCNAB2;KCNIP1;KCNIP4;KCNJ5;KCNQ3;KCNQ2;KCNQ4;KCNJ10;KCNC1;KCNA5;KCNAB1;HCN4;KCNC4;KCNH5;KCNE2
GO:0042391	regulation of membrane potential	http://amigo.geneontology.org/amigo/term/GO:0042391	427	23	1.145463080946952	20.079215456674472	1.0188496092671302e-25	4.2740741108756113e-23	3739;3741;3746;3751;3752;3753;3756;3757;3759;3762;3766;3784;3786;8514;9992;10008;10021;23415;23630;23704;27133;30819;56479	KCNE4;KCNA4;KCNJ2;KCNQ5;KCNIP2;KCNH1;KCNE1;KCNH4;KCNE5;KCND2;KCNE3;KCND3;KCNH2;KCNQ1;KCNAB2;KCNJ5;KCNQ3;KCNJ10;KCNC1;KCNA5;HCN4;KCNH5;KCNE2
GO:0043269	regulation of monoatomic ion transport	http://amigo.geneontology.org/amigo/term/GO:0043269	433	22	1.1615585809134197	18.940069284064663	6.33906650563435e-24	1.7728255994090732e-21	1804;3741;3746;3753;3757;3759;3761;3762;3766;3768;3784;7881;8514;9196;9992;10008;23630;30819;30820;57628;80333;100134444	KCNJ2;KCNIP2;DPP10;KCNJ18;DPP6;KCNAB3;KCNE1;KCNE5;KCNJ4;KCNE3;KCNH2;KCNQ1;KCNJ12;KCNAB2;KCNIP1;KCNIP4;KCNJ5;KCNJ10;KCNC1;KCNA5;KCNAB1;KCNE2
GO:0034762	regulation of transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034762	430	21	1.1535108309301858	18.205290697674418	2.2321084936885786e-22	4.6818475655117934e-20	1804;3746;3753;3757;3759;3761;3762;3766;3768;3784;7881;8514;9196;9992;10008;23630;30819;30820;57628;80333;100134444	KCNJ2;KCNIP2;DPP10;KCNJ18;DPP6;KCNAB3;KCNE1;KCNE5;KCNJ4;KCNE3;KCNH2;KCNQ1;KCNJ12;KCNAB2;KCNIP1;KCNIP4;KCNJ5;KCNJ10;KCNC1;KCNAB1;KCNE2
GO:0003015	heart process	http://amigo.geneontology.org/amigo/term/GO:0003015	242	15	0.6491851653141976	23.105888429752067	2.5919739790456913e-17	4.34933233683867e-15	3741;3751;3752;3753;3757;3759;3762;3768;3784;9992;10008;10021;23630;23704;30819	KCNE4;KCNJ2;KCNIP2;KCNE1;KCNE5;KCND2;KCNE3;KCND3;KCNH2;KCNQ1;KCNJ12;KCNJ5;KCNA5;HCN4;KCNE2
GO:1903522	regulation of blood circulation	http://amigo.geneontology.org/amigo/term/GO:1903522	250	15	0.6706458319361546	22.3665	4.2289702634628115e-17	5.913510085075499e-15	3741;3751;3752;3753;3757;3759;3762;3768;3784;9992;10008;10021;23630;23704;30819	KCNE4;KCNJ2;KCNIP2;KCNE1;KCNE5;KCND2;KCNE3;KCND3;KCNH2;KCNQ1;KCNJ12;KCNJ5;KCNA5;HCN4;KCNE2
GO:0030048	actin filament-based movement	http://amigo.geneontology.org/amigo/term/GO:0030048	128	12	0.3433706659513111	34.94765625	4.3135949028528456e-16	5.170151604990768e-14	3741;3752;3753;3757;3759;3762;3784;9992;10008;10021;23630;23704	KCNE4;KCNJ2;KCNE1;KCNE5;KCNE3;KCND3;KCNH2;KCNQ1;KCNJ5;KCNA5;HCN4;KCNE2
GO:0140115	export across plasma membrane	http://amigo.geneontology.org/amigo/term/GO:0140115	67	10	0.1797330829588894	55.63805970149254	1.2684186825344524e-15	1.3302540933080068e-13	3741;3752;3753;3757;3784;9992;10008;23630;23704;30819	KCNE4;KCNIP2;KCNE1;KCNE5;KCNE3;KCND3;KCNH2;KCNQ1;KCNA5;KCNE2
GO:0003012	muscle system process	http://amigo.geneontology.org/amigo/term/GO:0003012	424	15	1.137415330963718	13.187794811320755	1.0559844565601501e-13	9.844121767266288e-12	3741;3751;3752;3753;3757;3759;3762;3768;3784;9992;10008;10021;23630;23704;30819	KCNE4;KCNJ2;KCNIP2;KCNE1;KCNE5;KCND2;KCNE3;KCND3;KCNH2;KCNQ1;KCNJ12;KCNJ5;KCNA5;HCN4;KCNE2
GO:0098739	import across plasma membrane	http://amigo.geneontology.org/amigo/term/GO:0098739	201	10	0.5391992488766683	18.546019900497512	9.440618782155073e-11	7.920679158228108e-9	3757;3759;3761;3762;3766;3768;3784;9992;10021;100134444	KCNJ2;KCNJ18;KCNJ4;KCNH2;KCNQ1;KCNJ12;KCNJ5;KCNJ10;HCN4;KCNE2
