#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-1296071	Potassium Channels	25	103	2.02	9.56	2.32e-40	9606.ENSP00000155840,9606.ENSP00000218176,9606.ENSP00000243457,9606.ENSP00000252321,9606.ENSP00000261917,9606.ENSP00000262186,9606.ENSP00000262916,9606.ENSP00000264661,9606.ENSP00000265969,9606.ENSP00000271751,9606.ENSP00000302719,9606.ENSP00000306497,9606.ENSP00000319591,9606.ENSP00000321427,9606.ENSP00000328511,9606.ENSP00000333496,9606.ENSP00000345055,9606.ENSP00000352035,9606.ENSP00000358802,9606.ENSP00000367323,9606.ENSP00000373648,9606.ENSP00000419952,9606.ENSP00000433295,9606.ENSP00000463778,9606.ENSP00000495557	KCNQ1,KCND1,KCNJ2,KCNA5,HCN4,KCNH2,KCNQ4,KCNH4,KCNC1,KCNH1,KCNAB3,KCNJ4,KCND3,KCNH5,KCNA4,KCND2,KCNQ5,KCNQ2,KCNC4,KCNAB2,KCNQ3,KCNAB1,KCNJ5,KCNJ12,KCNJ10
HSA-1296072	Voltage gated Potassium channels	19	43	2.28	9.83	5.73e-34	9606.ENSP00000155840,9606.ENSP00000218176,9606.ENSP00000252321,9606.ENSP00000262186,9606.ENSP00000262916,9606.ENSP00000264661,9606.ENSP00000265969,9606.ENSP00000271751,9606.ENSP00000302719,9606.ENSP00000319591,9606.ENSP00000321427,9606.ENSP00000328511,9606.ENSP00000333496,9606.ENSP00000345055,9606.ENSP00000352035,9606.ENSP00000358802,9606.ENSP00000367323,9606.ENSP00000373648,9606.ENSP00000419952	KCNQ1,KCND1,KCNA5,KCNH2,KCNQ4,KCNH4,KCNC1,KCNH1,KCNAB3,KCND3,KCNH5,KCNA4,KCND2,KCNQ5,KCNQ2,KCNC4,KCNAB2,KCNQ3,KCNAB1
HSA-5576891	Cardiac conduction	22	130	1.86	7.25	3.35e-32	9606.ENSP00000155840,9606.ENSP00000218176,9606.ENSP00000243457,9606.ENSP00000252321,9606.ENSP00000262186,9606.ENSP00000281830,9606.ENSP00000290310,9606.ENSP00000306497,9606.ENSP00000310557,9606.ENSP00000319591,9606.ENSP00000322460,9606.ENSP00000328968,9606.ENSP00000333496,9606.ENSP00000361173,9606.ENSP00000365301,9606.ENSP00000371587,9606.ENSP00000382226,9606.ENSP00000396320,9606.ENSP00000396915,9606.ENSP00000414886,9606.ENSP00000420040,9606.ENSP00000463778	KCNQ1,KCND1,KCNJ2,KCNA5,KCNH2,KCNE4,KCNE2,KCNJ4,KCNE3,KCND3,SCN4B,SCN5A,KCND2,KCNE5,FGF14,KCNIP4,KCNE1,SCN4A,SCN1B,KCNIP1,KCNIP2,KCNJ12
HSA-112316	Neuronal System	26	409	1.43	4.28	8.41e-29	9606.ENSP00000155840,9606.ENSP00000218176,9606.ENSP00000243457,9606.ENSP00000252321,9606.ENSP00000261917,9606.ENSP00000262186,9606.ENSP00000262916,9606.ENSP00000264661,9606.ENSP00000265969,9606.ENSP00000271751,9606.ENSP00000302719,9606.ENSP00000306497,9606.ENSP00000319591,9606.ENSP00000321427,9606.ENSP00000328511,9606.ENSP00000333496,9606.ENSP00000345055,9606.ENSP00000352035,9606.ENSP00000358802,9606.ENSP00000367323,9606.ENSP00000373648,9606.ENSP00000419952,9606.ENSP00000433295,9606.ENSP00000453293,9606.ENSP00000463778,9606.ENSP00000495557	KCNQ1,KCND1,KCNJ2,KCNA5,HCN4,KCNH2,KCNQ4,KCNH4,KCNC1,KCNH1,KCNAB3,KCNJ4,KCND3,KCNH5,KCNA4,KCND2,KCNQ5,KCNQ2,KCNC4,KCNAB2,KCNQ3,KCNAB1,KCNJ5,APBA2,KCNJ12,KCNJ10
HSA-5576890	Phase 3 - rapid repolarisation	8	9	2.58	5.01	4.15e-15	9606.ENSP00000155840,9606.ENSP00000252321,9606.ENSP00000262186,9606.ENSP00000281830,9606.ENSP00000290310,9606.ENSP00000310557,9606.ENSP00000361173,9606.ENSP00000382226	KCNQ1,KCNA5,KCNH2,KCNE4,KCNE2,KCNE3,KCNE5,KCNE1
HSA-5576894	Phase 1 - inactivation of fast Na+ channels	6	7	2.56	3.6	6.30e-11	9606.ENSP00000218176,9606.ENSP00000319591,9606.ENSP00000333496,9606.ENSP00000371587,9606.ENSP00000414886,9606.ENSP00000420040	KCND1,KCND3,KCND2,KCNIP4,KCNIP1,KCNIP2
HSA-5576893	Phase 2 - plateau phase	6	15	2.23	3.0	1.72e-09	9606.ENSP00000155840,9606.ENSP00000281830,9606.ENSP00000290310,9606.ENSP00000310557,9606.ENSP00000361173,9606.ENSP00000382226	KCNQ1,KCNE4,KCNE2,KCNE3,KCNE5,KCNE1
HSA-445095	Interaction between L1 and Ankyrins	6	31	1.92	2.36	6.36e-08	9606.ENSP00000322460,9606.ENSP00000328968,9606.ENSP00000352035,9606.ENSP00000373648,9606.ENSP00000396320,9606.ENSP00000396915	SCN4B,SCN5A,KCNQ2,KCNQ3,SCN4A,SCN1B
HSA-1296041	Activation of G protein gated Potassium channels	5	29	1.87	1.82	3.31e-06	9606.ENSP00000243457,9606.ENSP00000306497,9606.ENSP00000433295,9606.ENSP00000463778,9606.ENSP00000495557	KCNJ2,KCNJ4,KCNJ5,KCNJ12,KCNJ10
HSA-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	5	29	1.87	1.82	3.31e-06	9606.ENSP00000243457,9606.ENSP00000306497,9606.ENSP00000433295,9606.ENSP00000463778,9606.ENSP00000495557	KCNJ2,KCNJ4,KCNJ5,KCNJ12,KCNJ10
