#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APBA2	KCNE2	9606.ENSP00000453293	9606.ENSP00000290310	0	0	0	0	0	0	0	0.501	0.501
CSMD1	KCNIP4	9606.ENSP00000489225	9606.ENSP00000371587	0	0	0	0	0.075	0	0	0.445	0.465
DPP10	KCND1	9606.ENSP00000376855	9606.ENSP00000218176	0	0	0	0	0	0.091	0	0.539	0.563
DPP10	KCNC1	9606.ENSP00000376855	9606.ENSP00000265969	0	0	0	0	0.125	0.068	0	0.810	0.831
DPP10	KCND3	9606.ENSP00000376855	9606.ENSP00000319591	0	0	0	0	0.072	0.328	0	0.967	0.977
DPP10	KCNA4	9606.ENSP00000376855	9606.ENSP00000328511	0	0	0	0	0.098	0.068	0	0.622	0.655
DPP10	KCND2	9606.ENSP00000376855	9606.ENSP00000333496	0	0	0	0	0.104	0.328	0	0.969	0.980
DPP10	KCNC4	9606.ENSP00000376855	9606.ENSP00000358802	0	0	0	0	0.060	0.068	0	0.372	0.402
DPP10	DPP6	9606.ENSP00000376855	9606.ENSP00000367001	0	0	0.064	0.951	0.129	0.109	0	0.507	0.594
DPP10	KCNIP4	9606.ENSP00000376855	9606.ENSP00000371587	0	0	0	0	0.090	0.087	0	0.428	0.483
DPP10	KCNIP2	9606.ENSP00000376855	9606.ENSP00000420040	0	0	0	0	0.078	0.087	0	0.597	0.632
DPP10	KCNIP1	9606.ENSP00000376855	9606.ENSP00000414886	0	0	0	0	0.127	0.087	0	0.639	0.687
DPP6	KCND1	9606.ENSP00000367001	9606.ENSP00000218176	0	0	0	0	0.042	0.095	0	0.610	0.633
DPP6	KCNC1	9606.ENSP00000367001	9606.ENSP00000265969	0	0	0	0	0.178	0.068	0	0.876	0.896
DPP6	KCNE2	9606.ENSP00000367001	9606.ENSP00000290310	0	0	0	0	0	0	0	0.446	0.446
DPP6	KCND3	9606.ENSP00000367001	9606.ENSP00000319591	0	0	0	0	0.109	0.098	0	0.923	0.933
DPP6	KCNA4	9606.ENSP00000367001	9606.ENSP00000328511	0	0	0	0	0.107	0.068	0	0.651	0.684
DPP6	SCN5A	9606.ENSP00000367001	9606.ENSP00000328968	0	0	0	0	0.047	0	0	0.909	0.909
DPP6	KCND2	9606.ENSP00000367001	9606.ENSP00000333496	0	0	0	0	0.128	0.951	0	0.887	0.994
DPP6	KCNC4	9606.ENSP00000367001	9606.ENSP00000358802	0	0	0	0	0.072	0.068	0	0.400	0.436
DPP6	KCNAB1	9606.ENSP00000367001	9606.ENSP00000419952	0	0	0	0	0.103	0.072	0	0.369	0.429
DPP6	DPP10	9606.ENSP00000367001	9606.ENSP00000376855	0	0	0.064	0.951	0.129	0.109	0	0.507	0.594
DPP6	KCNIP4	9606.ENSP00000367001	9606.ENSP00000371587	0	0	0	0	0.080	0.087	0	0.693	0.719
DPP6	KCNIP2	9606.ENSP00000367001	9606.ENSP00000420040	0	0	0	0	0.065	0.087	0	0.814	0.827
DPP6	KCNIP1	9606.ENSP00000367001	9606.ENSP00000414886	0	0	0	0	0.163	0.812	0	0.790	0.964
DSC3	KCNQ1	9606.ENSP00000353608	9606.ENSP00000155840	0	0	0	0	0	0	0	0.436	0.436
DSC3	KCNJ2	9606.ENSP00000353608	9606.ENSP00000243457	0	0	0	0	0.054	0	0	0.392	0.400
DSC3	KCNH2	9606.ENSP00000353608	9606.ENSP00000262186	0	0	0	0	0	0	0	0.425	0.425
DSC3	KCNE2	9606.ENSP00000353608	9606.ENSP00000290310	0	0	0	0	0	0	0	0.437	0.437
DSC3	SCN5A	9606.ENSP00000353608	9606.ENSP00000328968	0	0	0	0	0	0.045	0	0.573	0.574
DSC3	KCNE1	9606.ENSP00000353608	9606.ENSP00000382226	0	0	0	0	0	0	0	0.407	0.407
FGF14	KCND3	9606.ENSP00000365301	9606.ENSP00000319591	0	0	0	0	0.150	0.042	0	0.513	0.569
FGF14	SCN5A	9606.ENSP00000365301	9606.ENSP00000328968	0	0	0	0	0.043	0.257	0	0.348	0.496
FGF14	KCNQ2	9606.ENSP00000365301	9606.ENSP00000352035	0	0	0	0	0.146	0.042	0	0.436	0.498
FGF14	SCN1B	9606.ENSP00000365301	9606.ENSP00000396915	0	0	0	0	0.083	0	0	0.506	0.527
HCN4	KCNQ1	9606.ENSP00000261917	9606.ENSP00000155840	0	0	0	0	0.044	0	0	0.689	0.690
HCN4	KCNJ2	9606.ENSP00000261917	9606.ENSP00000243457	0	0	0	0	0.042	0	0	0.735	0.735
HCN4	KCNA5	9606.ENSP00000261917	9606.ENSP00000252321	0	0	0	0	0.059	0	0	0.602	0.609
HCN4	KCNJ4	9606.ENSP00000261917	9606.ENSP00000306497	0	0	0	0	0.106	0	0	0.378	0.420
HCN4	KCNIP2	9606.ENSP00000261917	9606.ENSP00000420040	0	0	0	0	0.065	0.045	0	0.451	0.467
HCN4	KCNA4	9606.ENSP00000261917	9606.ENSP00000328511	0	0	0	0	0.063	0	0	0.493	0.504
HCN4	SCN4B	9606.ENSP00000261917	9606.ENSP00000322460	0	0	0	0	0.070	0	0	0.511	0.525
HCN4	KCNJ12	9606.ENSP00000261917	9606.ENSP00000463778	0	0	0	0	0.062	0	0	0.543	0.553
HCN4	KCNH2	9606.ENSP00000261917	9606.ENSP00000262186	0	0	0	0.585	0.083	0	0	0.557	0.576
HCN4	KCNE4	9606.ENSP00000261917	9606.ENSP00000281830	0	0	0	0	0	0	0	0.583	0.583
HCN4	KCND2	9606.ENSP00000261917	9606.ENSP00000333496	0	0	0	0	0.085	0	0	0.605	0.623
HCN4	KCNE1	9606.ENSP00000261917	9606.ENSP00000382226	0	0	0	0	0	0	0	0.629	0.629
HCN4	KCNJ5	9606.ENSP00000261917	9606.ENSP00000433295	0	0	0	0	0	0	0	0.636	0.636
HCN4	KCNE5	9606.ENSP00000261917	9606.ENSP00000361173	0	0	0	0	0	0	0	0.677	0.677
HCN4	KCND3	9606.ENSP00000261917	9606.ENSP00000319591	0	0	0	0	0.068	0	0	0.708	0.716
HCN4	KCNE2	9606.ENSP00000261917	9606.ENSP00000290310	0	0	0	0	0.042	0.230	0	0.766	0.812
HCN4	KCNE3	9606.ENSP00000261917	9606.ENSP00000310557	0	0	0	0	0	0	0	0.823	0.823
HCN4	SCN1B	9606.ENSP00000261917	9606.ENSP00000396915	0	0	0	0	0.062	0	0	0.826	0.830
HCN4	SCN5A	9606.ENSP00000261917	9606.ENSP00000328968	0	0	0	0	0.088	0.058	0	0.949	0.953
KCNA4	KCNQ1	9606.ENSP00000328511	9606.ENSP00000155840	0	0	0.233	0.574	0.042	0.058	0	0.306	0.456
KCNA4	KCND1	9606.ENSP00000328511	9606.ENSP00000218176	0	0	0.157	0.757	0	0	0	0.575	0.626
KCNA4	KCNJ2	9606.ENSP00000328511	9606.ENSP00000243457	0	0	0	0	0	0	0	0.501	0.501
KCNA4	KCNA5	9606.ENSP00000328511	9606.ENSP00000252321	0	0	0.068	0.944	0.072	0.292	0.400	0.410	0.743
KCNA4	HCN4	9606.ENSP00000328511	9606.ENSP00000261917	0	0	0	0	0.063	0	0	0.493	0.504
KCNA4	KCNH2	9606.ENSP00000328511	9606.ENSP00000262186	0	0	0	0	0.058	0	0	0.708	0.713
KCNA4	KCNC1	9606.ENSP00000328511	9606.ENSP00000265969	0	0	0.144	0.788	0.149	0.097	0	0.474	0.608
KCNA4	KCNH1	9606.ENSP00000328511	9606.ENSP00000271751	0	0	0	0	0.133	0.096	0	0.522	0.593
KCNA4	KCNE4	9606.ENSP00000328511	9606.ENSP00000281830	0	0	0	0	0	0.048	0	0.431	0.435
KCNA4	KCNE2	9606.ENSP00000328511	9606.ENSP00000290310	0	0	0	0	0.045	0	0	0.419	0.421
KCNA4	KCNAB3	9606.ENSP00000328511	9606.ENSP00000302719	0	0	0	0	0.074	0.307	0.500	0.897	0.962
KCNA4	KCNJ4	9606.ENSP00000328511	9606.ENSP00000306497	0	0	0	0	0.142	0	0	0.593	0.636
KCNA4	KCND3	9606.ENSP00000328511	9606.ENSP00000319591	0	0	0.163	0.745	0.106	0	0	0.691	0.748
KCNA4	KCNH5	9606.ENSP00000328511	9606.ENSP00000321427	0	0	0	0	0.107	0.096	0	0.350	0.430
KCNA4	SCN4B	9606.ENSP00000328511	9606.ENSP00000322460	0	0	0	0	0.122	0	0	0.375	0.428
KCNA4	SCN1B	9606.ENSP00000328511	9606.ENSP00000396915	0	0	0	0	0.073	0	0	0.400	0.420
KCNA4	KCNJ10	9606.ENSP00000328511	9606.ENSP00000495557	0	0	0	0	0.107	0	0	0.392	0.434
KCNA4	RPS9	9606.ENSP00000328511	9606.ENSP00000375632	0	0	0	0	0.276	0.298	0	0.087	0.495
KCNA4	KCNQ3	9606.ENSP00000328511	9606.ENSP00000373648	0	0	0.228	0.568	0.139	0.059	0	0.296	0.501
KCNA4	KCNQ2	9606.ENSP00000328511	9606.ENSP00000352035	0	0	0.234	0.578	0.106	0.089	0	0.299	0.504
KCNA4	KCNJ5	9606.ENSP00000328511	9606.ENSP00000433295	0	0	0	0	0.043	0	0	0.514	0.515
KCNA4	KCNIP1	9606.ENSP00000328511	9606.ENSP00000414886	0	0	0	0	0.120	0.129	0	0.436	0.530
KCNA4	KCNQ5	9606.ENSP00000328511	9606.ENSP00000345055	0	0	0.230	0.573	0.063	0.059	0	0.423	0.556
KCNA4	KCNJ12	9606.ENSP00000328511	9606.ENSP00000463778	0	0	0	0	0.086	0	0	0.543	0.565
KCNA4	KCNE1	9606.ENSP00000328511	9606.ENSP00000382226	0	0	0	0	0	0	0	0.573	0.573
KCNA4	KCNC4	9606.ENSP00000328511	9606.ENSP00000358802	0	0	0.159	0.758	0.054	0.097	0	0.505	0.597
KCNA4	KCND2	9606.ENSP00000328511	9606.ENSP00000333496	0	0	0.159	0.753	0.118	0	0	0.508	0.603
KCNA4	DPP10	9606.ENSP00000328511	9606.ENSP00000376855	0	0	0	0	0.098	0.068	0	0.622	0.655
KCNA4	SCN5A	9606.ENSP00000328511	9606.ENSP00000328968	0	0	0	0	0.048	0.094	0	0.659	0.681
KCNA4	SCN4A	9606.ENSP00000328511	9606.ENSP00000396320	0	0	0	0	0.069	0.094	0	0.654	0.683
KCNA4	DPP6	9606.ENSP00000328511	9606.ENSP00000367001	0	0	0	0	0.107	0.068	0	0.651	0.684
KCNA4	KCNIP2	9606.ENSP00000328511	9606.ENSP00000420040	0	0	0	0	0.087	0.129	0	0.901	0.914
KCNA4	KCNAB1	9606.ENSP00000328511	9606.ENSP00000419952	0	0	0	0	0.105	0.307	0.500	0.961	0.986
KCNA4	KCNAB2	9606.ENSP00000328511	9606.ENSP00000367323	0	0	0	0	0.074	0.568	0.500	0.961	0.991
KCNA5	KCNQ1	9606.ENSP00000252321	9606.ENSP00000155840	0	0	0.238	0.576	0	0.058	0	0.400	0.531
KCNA5	KCNJ2	9606.ENSP00000252321	9606.ENSP00000243457	0	0	0	0	0	0	0	0.683	0.683
KCNA5	KCNQ5	9606.ENSP00000252321	9606.ENSP00000345055	0	0	0.240	0.570	0	0.059	0	0.236	0.406
KCNA5	KCNQ3	9606.ENSP00000252321	9606.ENSP00000373648	0	0	0.238	0.567	0.085	0.059	0	0.229	0.427
KCNA5	KCNQ4	9606.ENSP00000252321	9606.ENSP00000262916	0	0	0.249	0.571	0.044	0.059	0	0.265	0.437
KCNA5	KCNQ2	9606.ENSP00000252321	9606.ENSP00000352035	0	0	0.225	0.578	0.067	0.089	0	0.251	0.441
KCNA5	KCNIP1	9606.ENSP00000252321	9606.ENSP00000414886	0	0	0	0	0.086	0.129	0	0.391	0.473
KCNA5	SCN4A	9606.ENSP00000252321	9606.ENSP00000396320	0	0	0	0	0.089	0.094	0	0.422	0.482
KCNA5	RPS9	9606.ENSP00000252321	9606.ENSP00000375632	0	0	0	0	0.276	0.298	0	0.087	0.495
KCNA5	KCNH1	9606.ENSP00000252321	9606.ENSP00000271751	0	0	0	0	0.067	0.096	0	0.464	0.508
KCNA5	SCN1B	9606.ENSP00000252321	9606.ENSP00000396915	0	0	0	0	0	0	0	0.511	0.511
KCNA5	SCN4B	9606.ENSP00000252321	9606.ENSP00000322460	0	0	0	0	0.100	0	0	0.514	0.544
KCNA5	KCNE4	9606.ENSP00000252321	9606.ENSP00000281830	0	0	0	0	0.042	0.048	0	0.550	0.554
KCNA5	KCNE5	9606.ENSP00000252321	9606.ENSP00000361173	0	0	0	0	0	0	0	0.571	0.571
KCNA5	KCNE3	9606.ENSP00000252321	9606.ENSP00000310557	0	0	0	0	0.056	0	0	0.575	0.581
KCNA5	KCND2	9606.ENSP00000252321	9606.ENSP00000333496	0	0	0.156	0.763	0.072	0	0	0.510	0.582
KCNA5	KCNJ12	9606.ENSP00000252321	9606.ENSP00000463778	0	0	0	0	0.062	0	0	0.587	0.596
KCNA5	HCN4	9606.ENSP00000252321	9606.ENSP00000261917	0	0	0	0	0.059	0	0	0.602	0.609
KCNA5	KCNJ4	9606.ENSP00000252321	9606.ENSP00000306497	0	0	0	0	0.074	0	0	0.599	0.613
KCNA5	KCNJ5	9606.ENSP00000252321	9606.ENSP00000433295	0	0	0	0	0	0	0	0.649	0.649
KCNA5	KCND3	9606.ENSP00000252321	9606.ENSP00000319591	0	0	0.154	0.765	0.072	0.292	0	0.522	0.699
KCNA5	KCNE1	9606.ENSP00000252321	9606.ENSP00000382226	0	0	0	0	0.045	0	0	0.709	0.710
KCNA5	KCNA4	9606.ENSP00000252321	9606.ENSP00000328511	0	0	0.068	0.944	0.072	0.292	0.400	0.410	0.743
