#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASCL1	PVALB	9606.ENSP00000266744	9606.ENSP00000216200	0	0	0	0	0.081	0	0	0.419	0.443
ASCL1	SLC32A1	9606.ENSP00000266744	9606.ENSP00000217420	0	0	0	0	0.126	0	0	0.379	0.434
ASCL1	SLC17A7	9606.ENSP00000266744	9606.ENSP00000221485	0	0	0	0	0.084	0	0	0.466	0.489
ASCL1	DLX2	9606.ENSP00000266744	9606.ENSP00000234198	0	0	0	0	0	0	0	0.926	0.926
ASCL1	GFAP	9606.ENSP00000266744	9606.ENSP00000253408	0	0	0	0	0.121	0	0	0.654	0.683
ASCL1	EMX1	9606.ENSP00000266744	9606.ENSP00000258106	0	0	0	0	0.085	0	0	0.508	0.530
ASCL1	SLC17A6	9606.ENSP00000266744	9606.ENSP00000263160	0	0	0	0	0.106	0	0	0.450	0.487
ASCL1	CALB1	9606.ENSP00000266744	9606.ENSP00000265431	0	0	0	0	0.056	0	0	0.491	0.499
ASCL1	SST	9606.ENSP00000266744	9606.ENSP00000287641	0	0	0	0	0.086	0	0	0.398	0.426
ASCL1	GAD2	9606.ENSP00000266744	9606.ENSP00000365437	0	0	0	0	0.113	0	0	0.384	0.431
ASCL1	BCL11B	9606.ENSP00000266744	9606.ENSP00000349723	0	0	0	0	0.059	0.070	0	0.446	0.472
ASCL1	SP8	9606.ENSP00000266744	9606.ENSP00000408792	0	0	0	0	0.065	0.091	0	0.449	0.492
ASCL1	FEZF2	9606.ENSP00000266744	9606.ENSP00000283268	0	0	0	0	0.090	0.091	0	0.453	0.508
ASCL1	LHX8	9606.ENSP00000266744	9606.ENSP00000294638	0	0	0	0	0	0.048	0	0.525	0.528
ASCL1	CALB2	9606.ENSP00000266744	9606.ENSP00000307508	0	0	0	0	0.073	0	0	0.527	0.543
ASCL1	GAD1	9606.ENSP00000266744	9606.ENSP00000350928	0	0	0	0	0.095	0	0	0.554	0.579
ASCL1	SATB2	9606.ENSP00000266744	9606.ENSP00000401112	0	0	0	0	0.042	0	0	0.587	0.588
ASCL1	LHX6	9606.ENSP00000266744	9606.ENSP00000377854	0	0	0	0	0	0.048	0	0.593	0.596
ASCL1	NEUROD6	9606.ENSP00000266744	9606.ENSP00000297142	0	0	0	0	0.201	0.094	0	0.496	0.603
ASCL1	TBR1	9606.ENSP00000266744	9606.ENSP00000374205	0	0	0	0	0.082	0.066	0	0.579	0.607
ASCL1	RBFOX3	9606.ENSP00000266744	9606.ENSP00000463653	0	0	0	0	0.072	0.054	0	0.594	0.612
ASCL1	DCX	9606.ENSP00000266744	9606.ENSP00000490614	0	0	0	0	0.086	0	0	0.617	0.635
ASCL1	GSX2	9606.ENSP00000266744	9606.ENSP00000319118	0	0	0	0	0.084	0.053	0	0.683	0.701
ASCL1	PAX6	9606.ENSP00000266744	9606.ENSP00000492024	0	0	0	0	0.078	0	0	0.761	0.770
ASCL1	FOXG1	9606.ENSP00000266744	9606.ENSP00000339004	0	0	0	0	0.164	0.053	0	0.734	0.771
ASCL1	OLIG2	9606.ENSP00000266744	9606.ENSP00000331040	0	0	0	0	0.113	0.071	0	0.749	0.775
ASCL1	OLIG1	9606.ENSP00000266744	9606.ENSP00000371785	0	0	0	0	0.102	0.071	0	0.764	0.785
ASCL1	DLX1	9606.ENSP00000266744	9606.ENSP00000354478	0	0	0	0	0.116	0	0	0.864	0.874
ASCL1	POU3F2	9606.ENSP00000266744	9606.ENSP00000329170	0	0	0	0	0.140	0.049	0	0.968	0.971
ASCL1	NEUROG2	9606.ENSP00000266744	9606.ENSP00000317333	0	0	0	0	0.139	0.113	0	0.971	0.976
BCL11B	PVALB	9606.ENSP00000349723	9606.ENSP00000216200	0	0	0	0	0.049	0.095	0	0.489	0.522
BCL11B	SLC17A7	9606.ENSP00000349723	9606.ENSP00000221485	0	0	0	0	0.042	0	0	0.578	0.578
BCL11B	DLX2	9606.ENSP00000349723	9606.ENSP00000234198	0	0	0	0	0.042	0.054	0	0.523	0.530
BCL11B	GFAP	9606.ENSP00000349723	9606.ENSP00000253408	0	0	0	0	0	0.052	0	0.574	0.579
BCL11B	EMX1	9606.ENSP00000349723	9606.ENSP00000258106	0	0	0	0	0.053	0.049	0	0.630	0.638
BCL11B	CALB1	9606.ENSP00000349723	9606.ENSP00000265431	0	0	0	0	0.042	0.095	0	0.488	0.517
BCL11B	ASCL1	9606.ENSP00000349723	9606.ENSP00000266744	0	0	0	0	0.059	0.070	0	0.446	0.472
BCL11B	FEZF2	9606.ENSP00000349723	9606.ENSP00000283268	0	0	0	0.575	0	0	0	0.419	0.418
BCL11B	NEUROD6	9606.ENSP00000349723	9606.ENSP00000297142	0	0	0	0	0	0.046	0	0.461	0.464
BCL11B	CALB2	9606.ENSP00000349723	9606.ENSP00000307508	0	0	0	0	0	0.095	0	0.484	0.513
BCL11B	NEUROG2	9606.ENSP00000349723	9606.ENSP00000317333	0	0	0	0	0	0.046	0	0.480	0.483
BCL11B	GSX2	9606.ENSP00000349723	9606.ENSP00000319118	0	0	0	0	0	0.057	0	0.556	0.563
BCL11B	POU3F2	9606.ENSP00000349723	9606.ENSP00000329170	0	0	0	0	0.060	0.053	0	0.661	0.672
BCL11B	OLIG2	9606.ENSP00000349723	9606.ENSP00000331040	0	0	0	0	0	0.046	0	0.449	0.452
BCL11B	FOXG1	9606.ENSP00000349723	9606.ENSP00000339004	0	0	0	0	0.042	0.096	0	0.649	0.670
BCL11B	GAD2	9606.ENSP00000349723	9606.ENSP00000365437	0	0	0	0	0.042	0.046	0	0.408	0.411
BCL11B	DCX	9606.ENSP00000349723	9606.ENSP00000490614	0	0	0	0	0.050	0	0	0.438	0.443
BCL11B	LHX6	9606.ENSP00000349723	9606.ENSP00000377854	0	0	0	0	0.049	0.071	0	0.425	0.448
BCL11B	DLX1	9606.ENSP00000349723	9606.ENSP00000354478	0	0	0	0	0.044	0.054	0	0.507	0.515
BCL11B	GAD1	9606.ENSP00000349723	9606.ENSP00000350928	0	0	0	0	0.049	0.046	0	0.520	0.526
BCL11B	RBFOX3	9606.ENSP00000349723	9606.ENSP00000463653	0	0	0	0	0	0.054	0	0.630	0.635
BCL11B	PAX6	9606.ENSP00000349723	9606.ENSP00000492024	0	0	0	0	0	0.069	0	0.703	0.711
BCL11B	SATB2	9606.ENSP00000349723	9606.ENSP00000401112	0	0	0	0	0.065	0.053	0	0.842	0.848
BCL11B	TBR1	9606.ENSP00000349723	9606.ENSP00000374205	0	0	0	0	0	0.054	0	0.882	0.884
CALB1	PVALB	9606.ENSP00000265431	9606.ENSP00000216200	0	0	0	0	0.082	0	0	0.962	0.964
CALB1	SLC32A1	9606.ENSP00000265431	9606.ENSP00000217420	0	0	0	0	0.151	0	0	0.649	0.690
CALB1	SLC17A7	9606.ENSP00000265431	9606.ENSP00000221485	0	0	0	0	0.101	0.051	0	0.703	0.724
CALB1	SLC1A6	9606.ENSP00000265431	9606.ENSP00000221742	0	0	0	0	0.095	0	0	0.378	0.413
CALB1	DLX2	9606.ENSP00000265431	9606.ENSP00000234198	0	0	0	0	0	0	0	0.496	0.496
CALB1	GFAP	9606.ENSP00000265431	9606.ENSP00000253408	0	0	0	0	0.104	0	0	0.748	0.765
CALB1	EMX1	9606.ENSP00000265431	9606.ENSP00000258106	0	0	0	0	0.067	0	0	0.437	0.453
CALB1	SLC17A6	9606.ENSP00000265431	9606.ENSP00000263160	0	0	0	0	0.101	0.051	0	0.709	0.730
CALB1	SP8	9606.ENSP00000265431	9606.ENSP00000408792	0	0	0	0	0.042	0.095	0	0.369	0.405
CALB1	NEUROD6	9606.ENSP00000265431	9606.ENSP00000297142	0	0	0	0	0.115	0	0	0.357	0.407
CALB1	NEUROG2	9606.ENSP00000265431	9606.ENSP00000317333	0	0	0	0	0.063	0	0	0.400	0.414
CALB1	FOXG1	9606.ENSP00000265431	9606.ENSP00000339004	0	0	0	0	0.077	0.089	0	0.426	0.476
CALB1	GSX2	9606.ENSP00000265431	9606.ENSP00000319118	0	0	0	0	0.060	0	0	0.477	0.487
CALB1	ASCL1	9606.ENSP00000265431	9606.ENSP00000266744	0	0	0	0	0.056	0	0	0.491	0.499
CALB1	BCL11B	9606.ENSP00000265431	9606.ENSP00000349723	0	0	0	0	0.042	0.095	0	0.488	0.517
CALB1	OLIG2	9606.ENSP00000265431	9606.ENSP00000331040	0	0	0	0	0.055	0	0	0.526	0.532
