#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GNAL	OR7C2	9606.ENSP00000334051	9606.ENSP00000248072	0	0	0	0	0	0.142	0.650	0.044	0.687
GNAL	OR8K1	9606.ENSP00000334051	9606.ENSP00000279783	0	0	0	0	0	0.142	0.650	0.066	0.695
GNAL	OR1F1	9606.ENSP00000334051	9606.ENSP00000305424	0	0	0	0	0	0.142	0.650	0.100	0.706
GNAL	OR8B12	9606.ENSP00000334051	9606.ENSP00000307159	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR2C1	9606.ENSP00000334051	9606.ENSP00000307726	0	0	0	0	0	0	0.650	0.308	0.747
GNAL	OR52I2	9606.ENSP00000334051	9606.ENSP00000308764	0	0	0	0	0	0.142	0.650	0.234	0.750
GNAL	OR5J2	9606.ENSP00000334051	9606.ENSP00000310788	0	0	0	0	0	0.142	0.650	0.052	0.690
GNAL	OR7A5	9606.ENSP00000334051	9606.ENSP00000316955	0	0	0	0	0	0.142	0.650	0.176	0.730
GNAL	OR11H4	9606.ENSP00000334051	9606.ENSP00000318997	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR11H6	9606.ENSP00000334051	9606.ENSP00000319071	0	0	0	0	0	0.142	0.650	0.066	0.695
GNAL	OR56A1	9606.ENSP00000334051	9606.ENSP00000321246	0	0	0	0	0	0	0.650	0.102	0.672
GNAL	OR2M7	9606.ENSP00000334051	9606.ENSP00000324557	0	0	0	0	0	0.142	0.650	0.163	0.726
GNAL	OR56A4	9606.ENSP00000334051	9606.ENSP00000328215	0	0	0	0	0	0	0.650	0.298	0.744
GNAL	OR8J1	9606.ENSP00000334051	9606.ENSP00000477259	0	0	0	0	0	0	0.650	0	0.650
GNAL	OR2J1	9606.ENSP00000334051	9606.ENSP00000493312	0	0	0	0	0	0	0.650	0	0.650
GNAL	OR2M2	9606.ENSP00000334051	9606.ENSP00000492974	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR6B1	9606.ENSP00000334051	9606.ENSP00000492907	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR14A2	9606.ENSP00000334051	9606.ENSP00000355441	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR2L13	9606.ENSP00000334051	9606.ENSP00000493075	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR5K1	9606.ENSP00000334051	9606.ENSP00000493267	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR5T1	9606.ENSP00000334051	9606.ENSP00000493364	0	0	0	0	0	0.142	0.650	0	0.686
GNAL	OR7A10	9606.ENSP00000334051	9606.ENSP00000493055	0	0	0	0	0	0.142	0.650	0.044	0.687
GNAL	OR4E2	9606.ENSP00000334051	9606.ENSP00000493386	0	0	0	0	0	0.142	0.650	0.054	0.691
GNAL	OR4F17	9606.ENSP00000334051	9606.ENSP00000467301	0	0	0	0	0	0.142	0.650	0.054	0.691
GNAL	OR8A1	9606.ENSP00000334051	9606.ENSP00000492999	0	0	0	0	0	0.142	0.650	0.057	0.692
GNAL	OR6K6	9606.ENSP00000334051	9606.ENSP00000357126	0	0	0	0	0	0.142	0.650	0.066	0.695
GNAL	OR9Q2	9606.ENSP00000334051	9606.ENSP00000492924	0	0	0	0	0	0.142	0.650	0.066	0.695
GNAL	OR52E5	9606.ENSP00000334051	9606.ENSP00000480583	0	0	0	0	0	0.142	0.650	0.080	0.699
GNAL	OR5AR1	9606.ENSP00000334051	9606.ENSP00000485240	0	0	0	0	0	0.142	0.650	0.080	0.699
GNAL	OR6A2	9606.ENSP00000334051	9606.ENSP00000492990	0	0	0	0	0	0.142	0.650	0.085	0.701
GNAL	OR2B3	9606.ENSP00000334051	9606.ENSP00000366378	0	0	0	0	0	0.142	0.650	0.086	0.701
GNAL	OR52R1	9606.ENSP00000334051	9606.ENSP00000485292	0	0	0	0	0	0.142	0.650	0.090	0.702
GNAL	OR51M1	9606.ENSP00000334051	9606.ENSP00000493005	0	0	0	0	0	0.142	0.650	0.093	0.703
GNAL	OR5B21	9606.ENSP00000334051	9606.ENSP00000353537	0	0	0	0	0	0.142	0.650	0.109	0.709
GNAL	OR2A25	9606.ENSP00000334051	9606.ENSP00000493343	0	0	0	0	0	0.142	0.650	0.115	0.711
GNAL	OR2A7	9606.ENSP00000334051	9606.ENSP00000493320	0	0	0	0	0	0.142	0.650	0.115	0.711
GNAL	OR10G4	9606.ENSP00000334051	9606.ENSP00000493354	0	0	0	0	0	0.142	0.650	0.120	0.712
GNAL	OR5D18	9606.ENSP00000334051	9606.ENSP00000335025	0	0	0	0	0	0.142	0.650	0.174	0.730
GNAL	OR7D4	9606.ENSP00000334051	9606.ENSP00000493404	0	0	0	0	0	0.142	0.650	0.223	0.746
GNAL	OR11A1	9606.ENSP00000334051	9606.ENSP00000366354	0	0	0	0	0	0.142	0.650	0.243	0.753
