geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
hsa04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04080+1131+148+2570+2913+4889+5021+57053+5734+6863+728+90226	367	11	1.1208808873171516	9.81371002437975	1.2026390480904696e-8	6.167133038607928e-5	1131;148;2570;2913;4889;5021;57053;5734;6863;728;90226	pathway_KEGG	ENSG00000006128;ENSG00000111886;ENSG00000120907;ENSG00000129749;ENSG00000133019;ENSG00000145040;ENSG00000164129;ENSG00000171522;ENSG00000180914;ENSG00000197405;ENSG00000198822
GO:0070371	ERK1 and ERK2 cascade	http://amigo.geneontology.org/amigo/term/GO:0070371	321	10	0.9803890049831216	10.200032792261027	4.1586756051299024e-8	1.066284425155307e-4	148;467;728;1490;1847;3491;4889;5021;5734;57053	geneontology_Biological_Process_noRedundant	ENSG00000118523;ENSG00000120907;ENSG00000129749;ENSG00000138166;ENSG00000142871;ENSG00000162772;ENSG00000164129;ENSG00000171522;ENSG00000180914;ENSG00000197405
umls:C0023890	Liver Cirrhosis	http://www.disgenet.org/web/DisGeNET/menu/umls:C0023890	64	5	0.19546696672560682	25.579769736842106	1.4760125632110733e-6	0.0025229974747154613	1131;148;1490;4878;7057	disease_Disgenet	ENSG00000118523;ENSG00000120907;ENSG00000133019;ENSG00000137801;ENSG00000175206
R-HSA-500792	GPCR ligand binding	http://reactome.org/PathwayBrowser/#/R-HSA-500792	468	9	1.429352194181	6.2965587044534415	1.1219894467151528e-5	0.011566791615711789	1131;148;2913;4889;5021;5734;6863;728;90226	pathway_Reactome	ENSG00000006128;ENSG00000120907;ENSG00000133019;ENSG00000145040;ENSG00000164129;ENSG00000171522;ENSG00000180914;ENSG00000197405;ENSG00000198822
GO:0007204	positive regulation of cytosolic calcium ion concentration	http://amigo.geneontology.org/amigo/term/GO:0007204	166	6	0.5069924449445427	11.834495878249841	1.1278072948236925e-5	0.011566791615711789	148;728;5021;5734;6863;57053	geneontology_Biological_Process_noRedundant	ENSG00000006128;ENSG00000120907;ENSG00000129749;ENSG00000171522;ENSG00000180914;ENSG00000197405
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	http://reactome.org/PathwayBrowser/#/R-HSA-373076	335	7	1.0231474039543482	6.841633935585231	6.900537470756948e-5	0.05897659358340271	1131;148;4889;5021;5734;6863;728	pathway_Reactome	ENSG00000006128;ENSG00000120907;ENSG00000133019;ENSG00000164129;ENSG00000171522;ENSG00000180914;ENSG00000197405
P00044	Nicotinic acetylcholine receptor signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00044	92	4	0.2809837646680598	14.235697940503432	1.7886987742049093e-4	0.13103496163032535	8676;4621;57053;22989	pathway_Panther	ENSG00000109063;ENSG00000129749;ENSG00000135604;ENSG00000144821
R-HSA-372790	Signaling by GPCR	http://reactome.org/PathwayBrowser/#/R-HSA-372790	709	9	2.165407490757113	4.156261598990424	2.7498304968819016e-4	0.1762641348501299	1131;148;2913;4889;5021;5734;6863;728;90226	pathway_Reactome	ENSG00000006128;ENSG00000120907;ENSG00000133019;ENSG00000145040;ENSG00000164129;ENSG00000171522;ENSG00000180914;ENSG00000197405;ENSG00000198822
GO:0007218	neuropeptide signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007218	108	4	0.3298505063494615	12.126705653021443	3.3086500791444385e-4	0.18851952895391869	4878;4889;6863;11249	geneontology_Biological_Process_noRedundant	ENSG00000006128;ENSG00000144227;ENSG00000164129;ENSG00000175206
umls:C0003504	Aortic Valve Insufficiency	http://www.disgenet.org/web/DisGeNET/menu/umls:C0003504	11	2	0.03359588490596367	59.5311004784689	4.952274252789654e-4	0.24873597086230345	1490;4878	disease_Disgenet	ENSG00000118523;ENSG00000175206
