geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0001819	positive regulation of cytokine production	http://amigo.geneontology.org/amigo/term/GO:0001819	481	9	1.6752397792423512	5.372365264672957	4.13271861329966e-5	0.1909977775549675	718;2324;3082;7096;7784;10211;55655;91947;150372	geneontology_Biological_Process_noRedundant	ENSG00000019991;ENSG00000037280;ENSG00000125730;ENSG00000140450;ENSG00000174125;ENSG00000188372;ENSG00000232280;ENSG00000235568;ENSG00000277060
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	http://reactome.org/PathwayBrowser/#/R-HSA-381426	125	5	0.43535337298397897	11.484923076923078	7.449211293095456e-5	0.1909977775549675	2621;3371;3489;4241;718	pathway_Reactome	ENSG00000041982;ENSG00000125730;ENSG00000163975;ENSG00000167779;ENSG00000183087
R-HSA-8957275	Post-translational protein phosphorylation	http://reactome.org/PathwayBrowser/#/R-HSA-8957275	108	4	0.37614531425815784	10.634188034188035	5.473443345409348e-4	0.7774626427137538	2621;3371;4241;718	pathway_Reactome	ENSG00000041982;ENSG00000125730;ENSG00000163975;ENSG00000183087
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	450	7	1.5672721427423244	4.4663589743589744	9.427293661121891e-4	0.7774626427137538	3082;3280;3371;3664;6496;6926;80139	geneontology_Biological_Process_noRedundant	ENSG00000019991;ENSG00000041982;ENSG00000114315;ENSG00000117595;ENSG00000135111;ENSG00000138083;ENSG00000183779
GO:0060541	respiratory system development	http://amigo.geneontology.org/amigo/term/GO:0060541	219	5	0.7627391094679312	6.555321390937829	9.910310564483678e-4	0.7774626427137538	2324;3280;3371;6493;8929	geneontology_Biological_Process_noRedundant	ENSG00000037280;ENSG00000041982;ENSG00000109132;ENSG00000114315;ENSG00000159263
WP3527	Pre implantation embryo	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3527&label[]=TBX3&label[]=SIX3&label[]=AQP3&colors=steelblue	58	3	0.20200396506456625	14.851193633952255	0.0010851856558400034	0.7774626427137538	6496;6926;360	pathway_WikiPathways	ENSG00000135111;ENSG00000138083;ENSG00000165272
GO:0043410	positive regulation of MAPK cascade	http://amigo.geneontology.org/amigo/term/GO:0043410	463	7	1.6125488935326582	4.34095364678518	0.0011121887740859857	0.7774626427137538	2324;2621;3082;3489;4055;23533;79444	geneontology_Biological_Process_noRedundant	ENSG00000019991;ENSG00000037280;ENSG00000101197;ENSG00000111321;ENSG00000141506;ENSG00000167779;ENSG00000183087
GO:0007389	pattern specification process	http://amigo.geneontology.org/amigo/term/GO:0007389	470	7	1.636928682419761	4.276301145662847	0.0012128902382429856	0.7774626427137538	718;2018;2019;3280;6493;6496;6926	geneontology_Biological_Process_noRedundant	ENSG00000114315;ENSG00000125730;ENSG00000135111;ENSG00000138083;ENSG00000159263;ENSG00000163064;ENSG00000170370
umls:C0206762	Limb Deformities, Congenital	http://www.disgenet.org/web/DisGeNET/menu/umls:C0206762	16	2	0.055725231741949315	35.89038461538461	0.0013888543518813128	0.7913383462719303	3664;6926	disease_Disgenet	ENSG00000117595;ENSG00000135111
GO:0031098	stress-activated protein kinase signaling cascade	http://amigo.geneontology.org/amigo/term/GO:0031098	244	5	0.849809784064727	5.883669609079446	0.0015995084770363023	0.8202279470242158	2324;3082;3489;4055;79444	geneontology_Biological_Process_noRedundant	ENSG00000019991;ENSG00000037280;ENSG00000101197;ENSG00000111321;ENSG00000167779
