#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007601	Visual perception	36	223	1.79	8.94	1.89e-52	9606.ENSP00000193391,9606.ENSP00000221996,9606.ENSP00000229771,9606.ENSP00000230361,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000254854,9606.ENSP00000255266,9606.ENSP00000262340,9606.ENSP00000268125,9606.ENSP00000278833,9606.ENSP00000305941,9606.ENSP00000316605,9606.ENSP00000318373,9606.ENSP00000328412,9606.ENSP00000329158,9606.ENSP00000332809,9606.ENSP00000334665,9606.ENSP00000337224,9606.ENSP00000355969,9606.ENSP00000359245,9606.ENSP00000359655,9606.ENSP00000360502,9606.ENSP00000370521,9606.ENSP00000371923,9606.ENSP00000377176,9606.ENSP00000382895,9606.ENSP00000384264,9606.ENSP00000385158,9606.ENSP00000399709,9606.ENSP00000420295,9606.ENSP00000449079,9606.ENSP00000454062,9606.ENSP00000467661,9606.ENSP00000482504,9606.ENSP00000495537	IMPG2,CRX,TULP1,GUCA1B,PRPH2,CNGB1,GUCY2D,PDE6A,RPE65,RLBP1,ROM1,USH2A,CNGB3,ZNF513,PDE6G,CLRN1,PCARE,FSCN2,LRAT,RD3,ABCA4,EYS,PDE6C,AIPL1,RP1L1,SPATA7,RPGRIP1,CNGA1,FAM161A,BEST1,PDE6B,RDH12,NRL,PRCD,NR2E3,RPGR
GO:0007600	Sensory perception	37	947	1.17	3.09	3.79e-33	9606.ENSP00000193391,9606.ENSP00000221996,9606.ENSP00000229771,9606.ENSP00000230361,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000254854,9606.ENSP00000255266,9606.ENSP00000262340,9606.ENSP00000268125,9606.ENSP00000278833,9606.ENSP00000305941,9606.ENSP00000316605,9606.ENSP00000318373,9606.ENSP00000328412,9606.ENSP00000329158,9606.ENSP00000332809,9606.ENSP00000334665,9606.ENSP00000337224,9606.ENSP00000355969,9606.ENSP00000359245,9606.ENSP00000359655,9606.ENSP00000360502,9606.ENSP00000370521,9606.ENSP00000371923,9606.ENSP00000377176,9606.ENSP00000382895,9606.ENSP00000384264,9606.ENSP00000385158,9606.ENSP00000399709,9606.ENSP00000420295,9606.ENSP00000449079,9606.ENSP00000454062,9606.ENSP00000467661,9606.ENSP00000482306,9606.ENSP00000482504,9606.ENSP00000495537	IMPG2,CRX,TULP1,GUCA1B,PRPH2,CNGB1,GUCY2D,PDE6A,RPE65,RLBP1,ROM1,USH2A,CNGB3,ZNF513,PDE6G,CLRN1,PCARE,FSCN2,LRAT,RD3,ABCA4,EYS,PDE6C,AIPL1,RP1L1,SPATA7,RPGRIP1,CNGA1,FAM161A,BEST1,PDE6B,RDH12,NRL,PRCD,TTC8,NR2E3,RPGR
GO:0050877	Nervous system process	38	1423	1.01	2.23	1.69e-28	9606.ENSP00000193391,9606.ENSP00000221996,9606.ENSP00000229771,9606.ENSP00000230361,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000254854,9606.ENSP00000255266,9606.ENSP00000262340,9606.ENSP00000268125,9606.ENSP00000278833,9606.ENSP00000297157,9606.ENSP00000305941,9606.ENSP00000316605,9606.ENSP00000318373,9606.ENSP00000328412,9606.ENSP00000329158,9606.ENSP00000332809,9606.ENSP00000334665,9606.ENSP00000337224,9606.ENSP00000355969,9606.ENSP00000359245,9606.ENSP00000359655,9606.ENSP00000360502,9606.ENSP00000370521,9606.ENSP00000371923,9606.ENSP00000377176,9606.ENSP00000382895,9606.ENSP00000384264,9606.ENSP00000385158,9606.ENSP00000399709,9606.ENSP00000420295,9606.ENSP00000449079,9606.ENSP00000454062,9606.ENSP00000467661,9606.ENSP00000482306,9606.ENSP00000482504,9606.ENSP00000495537	IMPG2,CRX,TULP1,GUCA1B,PRPH2,CNGB1,GUCY2D,PDE6A,RPE65,RLBP1,ROM1,RP9,USH2A,CNGB3,ZNF513,PDE6G,CLRN1,PCARE,FSCN2,LRAT,RD3,ABCA4,EYS,PDE6C,AIPL1,RP1L1,SPATA7,RPGRIP1,CNGA1,FAM161A,BEST1,PDE6B,RDH12,NRL,PRCD,TTC8,NR2E3,RPGR
GO:0003008	System process	39	2029	0.86	1.67	2.19e-24	9606.ENSP00000193391,9606.ENSP00000221996,9606.ENSP00000229771,9606.ENSP00000230361,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000254854,9606.ENSP00000255266,9606.ENSP00000262340,9606.ENSP00000268125,9606.ENSP00000278833,9606.ENSP00000297157,9606.ENSP00000305941,9606.ENSP00000316605,9606.ENSP00000318373,9606.ENSP00000328412,9606.ENSP00000329158,9606.ENSP00000331831,9606.ENSP00000332809,9606.ENSP00000334665,9606.ENSP00000337224,9606.ENSP00000355969,9606.ENSP00000359245,9606.ENSP00000359655,9606.ENSP00000360502,9606.ENSP00000370521,9606.ENSP00000371923,9606.ENSP00000377176,9606.ENSP00000382895,9606.ENSP00000384264,9606.ENSP00000385158,9606.ENSP00000399709,9606.ENSP00000420295,9606.ENSP00000449079,9606.ENSP00000454062,9606.ENSP00000467661,9606.ENSP00000482306,9606.ENSP00000482504,9606.ENSP00000495537	IMPG2,CRX,TULP1,GUCA1B,PRPH2,CNGB1,GUCY2D,PDE6A,RPE65,RLBP1,ROM1,RP9,USH2A,CNGB3,ZNF513,PDE6G,CLRN1,GAS6,PCARE,FSCN2,LRAT,RD3,ABCA4,EYS,PDE6C,AIPL1,RP1L1,SPATA7,RPGRIP1,CNGA1,FAM161A,BEST1,PDE6B,RDH12,NRL,PRCD,TTC8,NR2E3,RPGR
GO:0046530	Photoreceptor cell differentiation	15	63	1.96	5.7	2.22e-21	9606.ENSP00000229771,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000278833,9606.ENSP00000286688,9606.ENSP00000332809,9606.ENSP00000334665,9606.ENSP00000353735,9606.ENSP00000360502,9606.ENSP00000371923,9606.ENSP00000382895,9606.ENSP00000454062,9606.ENSP00000482306,9606.ENSP00000482504,9606.ENSP00000485478	TULP1,PRPH2,CNGB1,ROM1,C8orf37,PCARE,FSCN2,TOPORS,PDE6C,RP1L1,RPGRIP1,NRL,TTC8,NR2E3,CDHR1
GO:0042461	Photoreceptor cell development	14	50	2.03	5.73	1.10e-20	9606.ENSP00000229771,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000278833,9606.ENSP00000286688,9606.ENSP00000332809,9606.ENSP00000334665,9606.ENSP00000353735,9606.ENSP00000360502,9606.ENSP00000371923,9606.ENSP00000382895,9606.ENSP00000454062,9606.ENSP00000482504,9606.ENSP00000485478	TULP1,PRPH2,CNGB1,ROM1,C8orf37,PCARE,FSCN2,TOPORS,PDE6C,RP1L1,RPGRIP1,NRL,NR2E3,CDHR1
GO:0060041	Retina development in camera-type eye	17	158	1.61	4.23	1.90e-19	9606.ENSP00000193391,9606.ENSP00000229771,9606.ENSP00000230381,9606.ENSP00000255266,9606.ENSP00000262340,9606.ENSP00000278833,9606.ENSP00000295408,9606.ENSP00000318373,9606.ENSP00000353735,9606.ENSP00000355969,9606.ENSP00000360502,9606.ENSP00000371923,9606.ENSP00000382895,9606.ENSP00000420295,9606.ENSP00000454062,9606.ENSP00000482306,9606.ENSP00000482504	IMPG2,TULP1,PRPH2,PDE6A,RPE65,ROM1,MERTK,ZNF513,TOPORS,RD3,PDE6C,RP1L1,RPGRIP1,PDE6B,NRL,TTC8,NR2E3
GO:0009583	Detection of light stimulus	12	63	1.86	4.21	1.14e-15	9606.ENSP00000229771,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000262340,9606.ENSP00000278833,9606.ENSP00000359245,9606.ENSP00000359655,9606.ENSP00000360502,9606.ENSP00000370521,9606.ENSP00000399709,9606.ENSP00000420295,9606.ENSP00000482504	TULP1,PRPH2,CNGB1,RPE65,ROM1,ABCA4,EYS,PDE6C,AIPL1,BEST1,PDE6B,NR2E3
GO:0009584	Detection of visible light	11	47	1.95	4.24	4.42e-15	9606.ENSP00000229771,9606.ENSP00000230381,9606.ENSP00000251102,9606.ENSP00000262340,9606.ENSP00000278833,9606.ENSP00000359245,9606.ENSP00000359655,9606.ENSP00000360502,9606.ENSP00000370521,9606.ENSP00000399709,9606.ENSP00000420295	TULP1,PRPH2,CNGB1,RPE65,ROM1,ABCA4,EYS,PDE6C,AIPL1,BEST1,PDE6B
GO:0001654	Eye development	18	382	1.25	2.53	7.28e-15	9606.ENSP00000193391,9606.ENSP00000229771,9606.ENSP00000230381,9606.ENSP00000255266,9606.ENSP00000262340,9606.ENSP00000278833,9606.ENSP00000295408,9606.ENSP00000318373,9606.ENSP00000334665,9606.ENSP00000353735,9606.ENSP00000355969,9606.ENSP00000360502,9606.ENSP00000371923,9606.ENSP00000382895,9606.ENSP00000420295,9606.ENSP00000454062,9606.ENSP00000482306,9606.ENSP00000482504	IMPG2,TULP1,PRPH2,PDE6A,RPE65,ROM1,MERTK,ZNF513,FSCN2,TOPORS,RD3,PDE6C,RP1L1,RPGRIP1,PDE6B,NRL,TTC8,NR2E3
