#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	IMPG2	9606.ENSP00000359245	9606.ENSP00000193391	0	0	0	0	0	0	0	0.741	0.741
ABCA4	CRX	9606.ENSP00000359245	9606.ENSP00000221996	0	0	0	0	0.042	0	0	0.771	0.771
ABCA4	TULP1	9606.ENSP00000359245	9606.ENSP00000229771	0	0	0	0	0.071	0	0	0.806	0.812
ABCA4	GUCA1B	9606.ENSP00000359245	9606.ENSP00000230361	0	0	0	0	0.103	0.045	0	0.648	0.672
ABCA4	PRPH2	9606.ENSP00000359245	9606.ENSP00000230381	0	0	0	0	0.066	0	0	0.889	0.891
ABCA4	CNGB1	9606.ENSP00000359245	9606.ENSP00000251102	0	0	0	0	0.049	0.306	0	0.795	0.853
ABCA4	GUCY2D	9606.ENSP00000359245	9606.ENSP00000254854	0	0	0	0	0.088	0	0	0.819	0.828
ABCA4	PDE6A	9606.ENSP00000359245	9606.ENSP00000255266	0	0	0	0	0.079	0	0	0.758	0.767
ABCA4	RPE65	9606.ENSP00000359245	9606.ENSP00000262340	0	0	0	0	0.052	0	0	0.866	0.868
ABCA4	RLBP1	9606.ENSP00000359245	9606.ENSP00000268125	0	0	0	0	0.042	0.047	0	0.610	0.612
ABCA4	ROM1	9606.ENSP00000359245	9606.ENSP00000278833	0	0	0	0	0.107	0	0	0.667	0.690
ABCA4	C8orf37	9606.ENSP00000359245	9606.ENSP00000286688	0	0	0	0	0	0	0	0.588	0.588
ABCA4	MERTK	9606.ENSP00000359245	9606.ENSP00000295408	0	0	0	0	0.055	0.044	0	0.681	0.686
ABCA4	RP9	9606.ENSP00000359245	9606.ENSP00000297157	0	0	0	0	0	0	0	0.620	0.620
ABCA4	CA4	9606.ENSP00000359245	9606.ENSP00000300900	0	0	0	0	0	0	0	0.499	0.499
ABCA4	USH2A	9606.ENSP00000359245	9606.ENSP00000305941	0	0	0	0	0.074	0	0	0.776	0.783
ABCA4	PRPF3	9606.ENSP00000359245	9606.ENSP00000315379	0	0	0	0	0	0.058	0	0.638	0.644
ABCA4	CNGB3	9606.ENSP00000359245	9606.ENSP00000316605	0	0	0	0	0.079	0.061	0	0.834	0.844
ABCA4	ZNF513	9606.ENSP00000359245	9606.ENSP00000318373	0	0	0	0	0	0.074	0	0.667	0.678
ABCA4	PRPF31	9606.ENSP00000359245	9606.ENSP00000324122	0	0	0	0	0	0	0	0.757	0.757
