#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADRA1A	GNA11	9606.ENSP00000369960	9606.ENSP00000078429	0	0	0	0	0	0.115	0.900	0.681	0.969
ADRA1A	BDKRB1	9606.ENSP00000369960	9606.ENSP00000216629	0	0	0	0.577	0	0	0	0.411	0.410
ADRA1A	KALRN	9606.ENSP00000369960	9606.ENSP00000240874	0	0	0	0	0.049	0	0.500	0	0.504
ADRA1A	PLCB2	9606.ENSP00000369960	9606.ENSP00000260402	0	0	0	0	0.065	0	0.500	0.187	0.586
ADRA1A	GNA15	9606.ENSP00000369960	9606.ENSP00000262958	0	0	0	0	0	0.115	0.650	0.113	0.701
ADRA1A	CYSLTR2	9606.ENSP00000369960	9606.ENSP00000282018	0	0	0	0.576	0.070	0	0.400	0.087	0.446
ADRA1A	GNAQ	9606.ENSP00000369960	9606.ENSP00000286548	0	0	0	0	0	0.115	0.900	0.868	0.987
ADRA1A	AVPR1A	9606.ENSP00000369960	9606.ENSP00000299178	0	0	0	0.580	0.085	0	0	0.570	0.590
ADRA1A	GNG8	9606.ENSP00000369960	9606.ENSP00000300873	0	0	0	0	0	0.120	0.500	0.073	0.556
ADRA1A	ADRA1B	9606.ENSP00000369960	9606.ENSP00000306662	0	0	0.063	0.935	0.080	0.541	0.900	0.100	0.957
ADRA1A	TAC1	9606.ENSP00000369960	9606.ENSP00000321106	0	0	0	0	0.064	0	0	0.407	0.422
ADRA1A	GNG2	9606.ENSP00000369960	9606.ENSP00000334448	0	0	0	0	0	0.171	0.500	0.048	0.570
ADRA1A	ARHGEF25	9606.ENSP00000369960	9606.ENSP00000335560	0	0	0	0	0	0	0.500	0	0.499
ADRA1A	PLCB1	9606.ENSP00000369960	9606.ENSP00000338185	0	0	0	0	0.065	0	0.500	0.265	0.626
ADRA1A	AGT	9606.ENSP00000369960	9606.ENSP00000355627	0	0	0	0	0.042	0	0.500	0.559	0.770
ADRA1A	GNG12	9606.ENSP00000369960	9606.ENSP00000360021	0	0	0	0	0.056	0.120	0.500	0.052	0.554
ADRA1A	CYSLTR1	9606.ENSP00000369960	9606.ENSP00000362401	0	0	0	0.606	0.058	0	0.400	0.076	0.432
ADRA1A	GNG10	9606.ENSP00000369960	9606.ENSP00000363411	0	0	0	0	0	0.120	0.500	0	0.541
ADRA1A	GNA14	9606.ENSP00000369960	9606.ENSP00000365807	0	0	0	0	0.048	0.115	0.650	0.104	0.700
ADRA1A	EDN1	9606.ENSP00000369960	9606.ENSP00000368683	0	0	0	0	0	0.128	0	0.490	0.536
ADRA1A	ADRA1D	9606.ENSP00000369960	9606.ENSP00000368766	0	0	0	0.929	0.078	0	0.900	0.093	0.909
ADRA1A	DRD1	9606.ENSP00000369960	9606.ENSP00000377353	0	0	0.083	0.778	0.056	0	0	0.401	0.436
