#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADORA1	ADRB2	9606.ENSP00000356205	9606.ENSP00000305372	0	0	0	0.668	0.069	0.331	0	0.499	0.660
ADORA1	GRM5	9606.ENSP00000356205	9606.ENSP00000306138	0	0	0	0	0.149	0	0	0.363	0.435
ADORA1	GNG2	9606.ENSP00000356205	9606.ENSP00000334448	0	0	0	0	0	0.816	0	0	0.816
ADORA1	DRD2	9606.ENSP00000356205	9606.ENSP00000354859	0	0	0	0.638	0.094	0.094	0	0.535	0.585
ADORA1	HTR2A	9606.ENSP00000356205	9606.ENSP00000437737	0	0	0	0.658	0.080	0	0	0.449	0.471
ADORA1	HTR1B	9606.ENSP00000356205	9606.ENSP00000358963	0	0	0	0.640	0.111	0.094	0	0.496	0.558
ADORA1	DRD1	9606.ENSP00000356205	9606.ENSP00000377353	0	0	0	0.692	0.120	0.328	0	0.537	0.702
ADORA1	NPY	9606.ENSP00000356205	9606.ENSP00000384364	0	0	0	0	0.072	0	0.650	0.251	0.735
ADORA1	GNAI1	9606.ENSP00000356205	9606.ENSP00000497260	0	0	0	0	0.067	0.125	0.900	0.256	0.931
ADRB2	CACNA1C	9606.ENSP00000305372	9606.ENSP00000266376	0	0	0	0	0	0.095	0	0.933	0.937
ADRB2	CAMK2A	9606.ENSP00000305372	9606.ENSP00000500386	0	0	0	0	0.057	0.052	0	0.389	0.406
ADRB2	CD14	9606.ENSP00000305372	9606.ENSP00000385519	0	0	0	0	0.072	0	0	0.389	0.408
ADRB2	GNG2	9606.ENSP00000305372	9606.ENSP00000334448	0	0	0	0	0.049	0.457	0	0.063	0.474
ADRB2	CNR1	9606.ENSP00000305372	9606.ENSP00000358513	0	0	0	0.592	0.051	0.324	0	0.268	0.490
ADRB2	HRH1	9606.ENSP00000305372	9606.ENSP00000380247	0	0	0	0.673	0.066	0	0	0.481	0.494
ADRB2	GRIN2B	9606.ENSP00000305372	9606.ENSP00000477455	0	0	0	0	0	0.054	0	0.496	0.503
ADRB2	GRIN2A	9606.ENSP00000305372	9606.ENSP00000332549	0	0	0	0	0	0.054	0	0.499	0.506
ADRB2	KCNJ6	9606.ENSP00000305372	9606.ENSP00000477437	0	0	0	0	0.067	0	0	0.508	0.521
ADRB2	SGIP1	9606.ENSP00000305372	9606.ENSP00000360076	0	0	0	0	0	0	0.500	0.105	0.533
ADRB2	GRM5	9606.ENSP00000305372	9606.ENSP00000306138	0	0	0	0	0	0	0	0.618	0.618
ADRB2	CHRM2	9606.ENSP00000305372	9606.ENSP00000399745	0	0	0	0.647	0.060	0	0.400	0.413	0.640
ADRB2	ADORA1	9606.ENSP00000305372	9606.ENSP00000356205	0	0	0	0.668	0.069	0.331	0	0.499	0.660
ADRB2	GRIA1	9606.ENSP00000305372	9606.ENSP00000428994	0	0	0	0	0	0.100	0	0.687	0.706
ADRB2	RAPGEF4	9606.ENSP00000305372	9606.ENSP00000380271	0	0	0	0	0.045	0	0	0.752	0.753
ADRB2	DLG4	9606.ENSP00000305372	9606.ENSP00000497806	0	0	0	0	0	0.095	0	0.783	0.795
ADRB2	NPY	9606.ENSP00000305372	9606.ENSP00000384364	0	0	0	0	0	0	0.650	0.446	0.797
ADRB2	GNAI1	9606.ENSP00000305372	9606.ENSP00000497260	0	0	0	0	0	0.387	0.900	0.237	0.949
ANGPT2	HBEGF	9606.ENSP00000314897	9606.ENSP00000230990	0	0	0	0	0	0	0	0.454	0.454
ANGPT2	DLL4	9606.ENSP00000314897	9606.ENSP00000249749	0	0	0	0	0.153	0.069	0	0.600	0.657
ANGPT2	VEGFD	9606.ENSP00000314897	9606.ENSP00000297904	0	0	0	0	0.049	0	0	0.741	0.743
APBA1	SNAP25	9606.ENSP00000265381	9606.ENSP00000254976	0	0	0	0	0.162	0.095	0.500	0.259	0.681
APBA1	SLC17A6	9606.ENSP00000265381	9606.ENSP00000263160	0	0	0	0	0.109	0	0	0.405	0.447
APBA1	GRIN2D	9606.ENSP00000265381	9606.ENSP00000263269	0	0	0	0	0.072	0	0.500	0	0.516
APBA1	SCN1B	9606.ENSP00000265381	9606.ENSP00000396915	0	0	0	0	0.086	0	0	0.375	0.405
APBA1	ELAVL2	9606.ENSP00000265381	9606.ENSP00000369453	0	0	0	0	0.101	0	0	0.366	0.406
APBA1	ERC2	9606.ENSP00000265381	9606.ENSP00000288221	0	0	0	0	0.084	0.064	0	0.366	0.408
APBA1	RCAN1	9606.ENSP00000265381	9606.ENSP00000370527	0	0	0	0	0.042	0	0	0.411	0.411
APBA1	CNTNAP2	9606.ENSP00000265381	9606.ENSP00000354778	0	0	0	0	0.064	0	0	0.423	0.436
APBA1	PIP5K1B	9606.ENSP00000265381	9606.ENSP00000265382	0	0	0	0	0.071	0	0	0.429	0.447
APBA1	CACNG2	9606.ENSP00000265381	9606.ENSP00000300105	0	0	0	0	0.094	0	0	0.428	0.460
APBA1	NXPH1	9606.ENSP00000265381	9606.ENSP00000384551	0	0	0	0	0.139	0	0	0.455	0.511
APBA1	CAMK2A	9606.ENSP00000265381	9606.ENSP00000500386	0	0	0	0	0.150	0.176	0	0.374	0.524
APBA1	GRIN2C	9606.ENSP00000265381	9606.ENSP00000293190	0	0	0	0	0.109	0	0.500	0	0.535
APBA1	SYN3	9606.ENSP00000265381	9606.ENSP00000351614	0	0	0	0	0.058	0	0.500	0.138	0.558
APBA1	GRIN1	9606.ENSP00000265381	9606.ENSP00000360608	0	0	0	0	0.151	0	0.500	0.090	0.580
APBA1	SYN2	9606.ENSP00000265381	9606.ENSP00000480050	0	0	0	0	0.133	0	0.500	0.167	0.607
APBA1	GRIN2A	9606.ENSP00000265381	9606.ENSP00000332549	0	0	0	0	0.109	0	0.500	0.270	0.646
APBA1	RIMS1	9606.ENSP00000265381	9606.ENSP00000428417	0	0	0	0	0.167	0	0.500	0.334	0.699
APBA1	PPFIA2	9606.ENSP00000265381	9606.ENSP00000450337	0	0	0	0	0.143	0.095	0.500	0.452	0.759
APBA1	DLG4	9606.ENSP00000265381	9606.ENSP00000497806	0	0	0	0.551	0.105	0.446	0.500	0.345	0.816
APBA1	NRXN2	9606.ENSP00000265381	9606.ENSP00000265459	0	0	0	0	0.150	0.076	0.500	0.613	0.827
APBA1	GRIN2B	9606.ENSP00000265381	9606.ENSP00000477455	0	0	0	0	0.142	0	0.500	0.700	0.860
APBA1	NRXN1	9606.ENSP00000265381	9606.ENSP00000385142	0	0	0	0	0.144	0.076	0.500	0.807	0.913
ARC	GRIA2	9606.ENSP00000349022	9606.ENSP00000296526	0	0	0	0	0.068	0	0	0.554	0.567
ARC	CACNG2	9606.ENSP00000349022	9606.ENSP00000300105	0	0	0	0	0.051	0	0	0.647	0.650
ARC	GRM5	9606.ENSP00000349022	9606.ENSP00000306138	0	0	0	0	0.094	0	0	0.451	0.481
ARC	FOS	9606.ENSP00000349022	9606.ENSP00000306245	0	0	0	0	0.195	0.045	0.500	0.622	0.835
ARC	NPAS4	9606.ENSP00000349022	9606.ENSP00000311196	0	0	0	0	0.146	0	0	0.590	0.635
ARC	GRIN2A	9606.ENSP00000349022	9606.ENSP00000332549	0	0	0	0	0.100	0.071	0	0.448	0.498
ARC	HOMER1	9606.ENSP00000349022	9606.ENSP00000334382	0	0	0	0	0.119	0	0	0.596	0.629
ARC	DNM3	9606.ENSP00000349022	9606.ENSP00000347457	0	0	0	0	0.094	0.091	0	0.459	0.516
ARC	GRIN1	9606.ENSP00000349022	9606.ENSP00000360608	0	0	0	0	0.148	0.091	0	0.424	0.515
ARC	CAMK2A	9606.ENSP00000349022	9606.ENSP00000500386	0	0	0	0	0.061	0.154	0	0.656	0.702
ARC	GRIN2B	9606.ENSP00000349022	9606.ENSP00000477455	0	0	0	0	0.105	0.089	0	0.704	0.737
ARC	CAMK2B	9606.ENSP00000349022	9606.ENSP00000379098	0	0	0	0	0.060	0.216	0	0.738	0.790
ARC	DLG4	9606.ENSP00000349022	9606.ENSP00000497806	0	0	0	0	0.106	0.484	0	0.612	0.805
ARC	GRIA1	9606.ENSP00000349022	9606.ENSP00000428994	0	0	0	0	0.056	0	0	0.812	0.814
ARG2	NOS1	9606.ENSP00000261783	9606.ENSP00000477999	0	0	0	0	0	0.095	0.900	0.587	0.959
ATP2B3	SNAP25	9606.ENSP00000263519	9606.ENSP00000254976	0	0	0	0	0.313	0.073	0	0.179	0.432
ATP2B3	CAMK2B	9606.ENSP00000263519	9606.ENSP00000379098	0	0	0	0	0.295	0.044	0	0.192	0.408
ATP2B3	CAMK2A	9606.ENSP00000263519	9606.ENSP00000500386	0	0	0	0	0.328	0.044	0	0.160	0.413
ATP2B3	KCNK9	9606.ENSP00000263519	9606.ENSP00000498198	0	0	0	0	0.256	0	0	0.282	0.443
ATP2B3	VSNL1	9606.ENSP00000263519	9606.ENSP00000384719	0	0	0	0	0.180	0.094	0	0.311	0.444
ATP2B3	CACNA1A	9606.ENSP00000263519	9606.ENSP00000489829	0	0	0	0	0.233	0.091	0	0.283	0.457
ATP2B3	CACNA1D	9606.ENSP00000263519	9606.ENSP00000288139	0	0	0	0	0.103	0.091	0	0.807	0.829
ATXN1	SPTBN4	9606.ENSP00000244769	9606.ENSP00000469242	0	0	0	0	0.067	0	0	0.396	0.412
ATXN1	NLK	9606.ENSP00000244769	9606.ENSP00000384625	0	0	0	0	0.053	0.077	0	0.484	0.509
ATXN1	DUSP2	9606.ENSP00000244769	9606.ENSP00000288943	0	0	0	0	0	0.292	0	0.353	0.522
ATXN1	DNAJB1	9606.ENSP00000244769	9606.ENSP00000254322	0	0	0	0	0.055	0	0	0.544	0.550
ATXN1	ZNF804A	9606.ENSP00000244769	9606.ENSP00000303252	0	0	0	0	0.087	0.084	0	0.647	0.679
ATXN1	MEX3B	9606.ENSP00000244769	9606.ENSP00000329918	0	0	0	0	0	0	0	0.694	0.694
ATXN1	PPP2R2B	9606.ENSP00000244769	9606.ENSP00000377936	0	0	0	0	0.082	0	0	0.694	0.707
ATXN1	CACNA1A	9606.ENSP00000244769	9606.ENSP00000489829	0	0	0	0	0.060	0	0	0.801	0.804
