#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAMTS4	COL1A1	9606.ENSP00000356975	9606.ENSP00000225964	0	0	0	0	0.064	0.068	0	0.802	0.812
ADAMTS4	P3H1	9606.ENSP00000356975	9606.ENSP00000236040	0	0	0	0	0.055	0	0	0.499	0.506
ADAMTS4	COL1A2	9606.ENSP00000356975	9606.ENSP00000297268	0	0	0	0	0.056	0.068	0	0.798	0.807
ADAMTS4	COL3A1	9606.ENSP00000356975	9606.ENSP00000304408	0	0	0	0	0.049	0.068	0	0.615	0.629
ADAMTS4	FBN1	9606.ENSP00000356975	9606.ENSP00000325527	0	0	0	0	0.043	0.046	0	0.629	0.631
ADAMTS4	FBLN1	9606.ENSP00000356975	9606.ENSP00000331544	0	0	0	0	0.047	0.046	0	0.667	0.670
ADAMTS4	FN1	9606.ENSP00000356975	9606.ENSP00000346839	0	0	0	0	0	0.045	0	0.800	0.800
ADAMTS4	COL9A1	9606.ENSP00000356975	9606.ENSP00000349790	0	0	0	0	0	0.068	0	0.425	0.441
ADAMTS4	COL5A2	9606.ENSP00000356975	9606.ENSP00000364000	0	0	0	0	0.049	0.068	0	0.481	0.499
ADAMTS4	COL5A1	9606.ENSP00000356975	9606.ENSP00000360882	0	0	0	0	0.050	0.068	0	0.510	0.528
CHAD	ITGB4	9606.ENSP00000258969	9606.ENSP00000200181	0	0	0	0	0.077	0.057	0.650	0.125	0.698
CHAD	ITGB8	9606.ENSP00000258969	9606.ENSP00000222573	0	0	0	0	0.056	0.057	0.650	0.150	0.700
CHAD	COL9A1	9606.ENSP00000258969	9606.ENSP00000349790	0	0	0	0	0.111	0.091	0	0.401	0.474
CHAD	ITGB5	9606.ENSP00000258969	9606.ENSP00000296181	0	0	0	0	0.056	0.057	0.650	0.051	0.664
CHAD	ITGA7	9606.ENSP00000258969	9606.ENSP00000452120	0	0	0	0	0.062	0.050	0.650	0.071	0.671
CHAD	ITGA1	9606.ENSP00000258969	9606.ENSP00000282588	0	0	0	0	0.057	0.050	0.650	0.111	0.684
CHAD	ITGA9	9606.ENSP00000258969	9606.ENSP00000264741	0	0	0	0	0	0.050	0.650	0.128	0.685
CHAD	ITGB6	9606.ENSP00000258969	9606.ENSP00000283249	0	0	0	0	0.056	0.057	0.650	0.125	0.690
CHAD	ITGA3	9606.ENSP00000258969	9606.ENSP00000315190	0	0	0	0	0	0.050	0.650	0.169	0.699
CHAD	ITGA8	9606.ENSP00000258969	9606.ENSP00000367316	0	0	0	0	0.058	0.050	0.650	0.197	0.714
CHAD	ITGA11	9606.ENSP00000258969	9606.ENSP00000327290	0	0	0	0	0.064	0.050	0.650	0.207	0.720
CHAD	ITGA10	9606.ENSP00000258969	9606.ENSP00000358310	0	0	0	0	0.064	0.050	0.650	0.222	0.725
CHAD	ITGB1	9606.ENSP00000258969	9606.ENSP00000379350	0	0	0	0	0.056	0.057	0.900	0.123	0.911
CHAD	ITGA2	9606.ENSP00000258969	9606.ENSP00000296585	0	0	0	0	0.064	0.050	0.900	0.201	0.919
COL15A1	LAMB1	9606.ENSP00000364140	9606.ENSP00000222399	0	0	0	0	0.158	0	0	0.580	0.631
COL15A1	COL1A1	9606.ENSP00000364140	9606.ENSP00000225964	0	0	0.116	0.578	0.339	0	0.400	0.279	0.713
COL15A1	P3H1	9606.ENSP00000364140	9606.ENSP00000236040	0	0	0	0	0.085	0	0.500	0.212	0.608
COL15A1	LAMC1	9606.ENSP00000364140	9606.ENSP00000258341	0	0	0	0	0.087	0	0	0.608	0.626
COL15A1	COL6A5	9606.ENSP00000364140	9606.ENSP00000265379	0	0	0	0.565	0.049	0	0.400	0.216	0.513
COL15A1	COL6A3	9606.ENSP00000364140	9606.ENSP00000295550	0	0	0	0.563	0.337	0	0.400	0.282	0.689
COL15A1	COL1A2	9606.ENSP00000364140	9606.ENSP00000297268	0	0	0.143	0.569	0.310	0	0.400	0.258	0.702
COL15A1	COL6A2	9606.ENSP00000364140	9606.ENSP00000300527	0	0	0	0.584	0.254	0	0.400	0.541	0.777
COL15A1	COL3A1	9606.ENSP00000364140	9606.ENSP00000304408	0	0	0.117	0.575	0.334	0	0.400	0.478	0.791
COL15A1	CRTAP	9606.ENSP00000364140	9606.ENSP00000323696	0	0	0	0	0.074	0	0.500	0.106	0.550
COL15A1	FBN1	9606.ENSP00000364140	9606.ENSP00000325527	0	0	0	0	0.249	0.048	0	0.402	0.535
COL15A1	CTHRC1	9606.ENSP00000364140	9606.ENSP00000330523	0	0	0	0	0.151	0	0	0.518	0.573
COL15A1	FBLN1	9606.ENSP00000364140	9606.ENSP00000331544	0	0	0	0	0.180	0.091	0	0.320	0.449
COL15A1	COL4A5	9606.ENSP00000364140	9606.ENSP00000331902	0	0	0	0.582	0.054	0	0.720	0.191	0.767
COL15A1	FN1	9606.ENSP00000364140	9606.ENSP00000346839	0	0	0	0	0.137	0	0	0.519	0.567
COL15A1	COL9A1	9606.ENSP00000364140	9606.ENSP00000349790	0	0	0.113	0.629	0	0	0.400	0.163	0.516
COL15A1	COL6A6	9606.ENSP00000364140	9606.ENSP00000351310	0	0	0	0.562	0.049	0	0.400	0.483	0.679
COL15A1	COL18A1	9606.ENSP00000364140	9606.ENSP00000352798	0	0	0.099	0.808	0.079	0	0.800	0.490	0.904
COL15A1	COL4A2	9606.ENSP00000364140	9606.ENSP00000353654	0	0	0.135	0.563	0.326	0	0.540	0.267	0.777
COL15A1	COL6A1	9606.ENSP00000364140	9606.ENSP00000355180	0	0	0	0.585	0.200	0	0.400	0.540	0.760
COL15A1	COL5A1	9606.ENSP00000364140	9606.ENSP00000360882	0	0	0.112	0.589	0.260	0	0.400	0.536	0.793
COL15A1	HSPG2	9606.ENSP00000364140	9606.ENSP00000363827	0	0	0	0	0.194	0.096	0	0.390	0.517
